name	Cnname	compactsave	version	level	ShowLevel	spawnable	PermStoreItem	multibuy	useable	type	type2	auto prefix	levelreq	reqstr	reqdex	rarity	speed	nodurability	cost	gamble cost	code	alternategfx	namestr	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	Transmogrify	TMogType	TMogMin	TMogMax	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	lightradius	belt	autobelt	stackable	minstack	maxstack	spawnstack	quest	questdiffcheck	missiletype	spellicon	pSpell	state	cstate1	cstate2	len	stat1	calc1	stat2	calc2	stat3	calc3	spelldesc	spelldescstr	spelldescstr2	spelldesccalc	spelldesccolor	durwarning	qntwarning	gemoffset	BetterGem	bitfield1	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	Nameable	diablocloneweight
Sapphire	寶藍	1	0	0	0	1	1		0	gems	gem2		12			6	0	1	5000		gsb	gsb	gsb	16	1	1	0	0	0	flpgsb	invgsbc		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	SapphireGemInfo				0	0	0	glb	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Flawless Sapphire	無瑕藍寶石	1	0	0	0	1			0	gems	gem3		15			7	0	1	15000		glb	glb	glb	16	1	1	0	0	0	flpgsb	invgsbd		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	FlawlessSapphireGemInfo				0	0	0	gpb	0					255					255			0	0	255					255					255			0	0	255					255					255			0	0	255			0	0	255					255					255					255			0	0	255			0	0	255					255					255	0	0	0	xxx	xxx				
Perfect Sapphire	完美藍寶石	1	0	0	0	1			0	gems	gem4		18			8	0	1	30000		gpb	gpb	gpb	16	1	1	0	0	0	flpgsb	invgsbe		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	PerfectSapphireGemInfo				0	0	0	non	0					255					255			0	0	255					255					255			0	0	255					255					255			0	0	255			0	0	255					255					255					255			0	0	255			0	0	255					255					255	0	0	0	xxx	xxx				
Chipped Emerald	碎裂綠寶石	1	0	0	0	1	1		0	geme	gem0		1			5	0	1	500		gcg	gcg	gcg	16	1	1	0	0	0	flpgsg	invgsga		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	ChippedEmeraldGemInfo				0	0	0	gfg	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Flawed Emerald	瑕疵綠寶石	1	0	0	0	1	1		0	geme	gem1		5			6	0	1	1500		gfg	gfg	gfg	16	1	1	0	0	0	flpgsg	invgsgb		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	FlawedEmeraldGemInfo				0	0	0	gsg	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Emerald	寶綠	1	0	0	0	1	1		0	geme	gem2		12			7	0	1	5000		gsg	gsg	gsg	16	1	1	0	0	0	flpgsg	invgsgc		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	EmeraldGemInfo				0	0	0	glg	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Flawless Emerald	無瑕綠寶石	1	0	0	0	1			0	geme	gem3		15			8	0	1	15000		glg	glg	glg	16	1	1	0	0	0	flpgsg	invgsgd		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	FlawlessEmeraldGemInfo				0	0	0	gpg	0					255					255			0	0	255					255					255			0	0	255					255					255			0	0	255			0	0	255					255					255					255			0	0	255			0	0	255					255					255	0	0	0	xxx	xxx				
Perfect Emerald	完美綠寶石	1	0	0	0	1			0	geme	gem4		18			9	0	1	30000		gpg	gpg	gpg	16	1	1	0	0	0	flpgsg	invgsge		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	PerfectEmeraldGemInfo				0	0	0	non	0					255					255			0	0	255					255					255			0	0	255					255					255			0	0	255			0	0	255					255					255					255			0	0	255			0	0	255					255					255	0	0	0	xxx	xxx				
Chipped Ruby	碎裂紅寶石	1	0	0	0	1	1		0	gemr	gem0		1			6	0	1	500		gcr	gcr	gcr	16	1	1	0	0	0	flpgsr	invgsra		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	ChippedRubyGemInfo				0	0	0	gfr	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Flawed Ruby	瑕疵紅寶石	1	0	0	0	1	1		0	gemr	gem1		5			7	0	1	1500		gfr	gfr	gfr	16	1	1	0	0	0	flpgsr	invgsrb		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	FlawedRubyGemInfo				0	0	0	gsr	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Ruby	寶紅	1	0	0	0	1	1		0	gemr	gem2		12			8	0	1	5000		gsr	gsr	gsr	16	1	1	0	0	0	flpgsr	invgsrc		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	RubyGemInfo				0	0	0	glr	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Flawless Ruby	無瑕紅寶石	1	0	0	0	1			0	gemr	gem3		15			9	0	1	15000		glr	glr	glr	16	1	1	0	0	0	flpgsr	invgsrd		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	FlawlessRubyGemInfo				0	0	0	gpr	0					255					255			0	0	255					255					255			0	0	255					255					255			0	0	255			0	0	255					255					255					255			0	0	255			0	0	255					255					255	0	0	0	xxx	xxx				
Perfect Ruby	完美紅寶石	1	0	0	0	1			0	gemr	gem4		18			10	0	1	30000		gpr	gpr	gpr	16	1	1	0	0	0	flpgsr	invgsre		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	PerfectRubyGemInfo				0	0	0	non	0					255					255			0	0	255					255					255			0	0	255					255					255			0	0	255			0	0	255					255					255					255			0	0	255			0	0	255					255					255	0	0	0	xxx	xxx				
Chipped Diamond	碎裂鑽石	1	0	0	0	1	1		0	gemd	gem0		1			7	0	1	500		gcw	gcw	gcw	16	1	1	0	0	0	flpgsw	invgswa		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	ChippedDiamondGemInfo				0	0	0	gfw	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Flawed Diamond	瑕疵鑽石	1	0	0	0	1	1		0	gemd	gem1		5			8	0	1	1500		gfw	gfw	gfw	16	1	1	0	0	0	flpgsw	invgswb		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	FlawedDiamondGemInfo				0	0	0	gsw	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Diamond	鑽石	1	0	0	0	1	1		0	gemd	gem2		12			9	0	1	5000		gsw	gsw	gsw	16	1	1	0	0	0	flpgsw	invgswc		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	DiamondGemInfo				0	0	0	glw	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Flawless Diamond	無瑕鑽石	1	0	0	0	1			0	gemd	gem3		15			10	0	1	15000		glw	glw	glw	16	1	1	0	0	0	flpgsw	invgswd		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	FlawlessDiamondGemInfo				0	0	0	gpw	0					255					255			0	0	255					255					255			0	0	255					255					255			0	0	255			0	0	255					255					255					255			0	0	255			0	0	255					255					255	0	0	0	xxx	xxx				
Perfect Diamond	完美鑽石	1	0	0	0	1			0	gemd	gem4		18			11	0	1	30000		gpw	gpw	gpw	16	1	1	0	0	0	flpgsw	invgswe		0	xxx			item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	PerfectDiamondGemInfo				0	0	0	non	0					255					255			0	0	255					255					255			0	0	255					255					255			0	0	255			0	0	255					255					255					255			0	0	255			0	0	255					255					255	0	0	0	xxx	xxx				
Chipped Skull	碎裂骷髏石	1	0	0	0	1	1		0	gemz	gem0		1			8	0	1	1000		skc	skc	skc	16	1	1	0	0	0	flpskl	invskc		0	xxx			item_monsterbone	12	item_monsterbone	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	ChippedSkullGemInfo				0	0	0	skf	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Flawed Skull	瑕疵骷髏石	1	0	0	0	1	1		0	gemz	gem1		5			9	0	1	3000		skf	skf	skf	16	1	1	0	0	0	flpskl	invskf		0	xxx			item_monsterbone	12	item_monsterbone	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	FlawedSkullGemInfo				0	0	0	sku	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Skull	骷髏	1	0	0	0	1	1		0	gemz	gem2		12			10	0	1	10000		sku	sku	sku	16	1	1	0	0	0	flpskl	invsku		0	xxx			item_monsterbone	12	item_monsterbone	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	SkullGemInfo				0	0	0	skl	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Flawless Skull	無瑕骷髏石	1	0	0	0	1			0	gemz	gem3		15			11	0	1	30000		skl	skl	skl	16	1	1	0	0	0	flpskl	invskl		0	xxx			item_monsterbone	12	item_monsterbone	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	FlawlessSkullGemInfo				0	0	0	skz	0					255					255			0	0	255					255					255			0	0	255					255					255			0	0	255			0	0	255					255					255					255			0	0	255			0	0	255					255					255	0	0	0	xxx	xxx				
Perfect Skull	完美骷髏石	1	0	0	0	1			0	gemz	gem4		18			12	0	1	100000		skz	skz	skz	16	1	1	0	0	0	flpskl	invskz		0	xxx			item_monsterbone	12	item_monsterbone	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	PerfectSkullGemInfo				0	0	0	non	0					255					255			0	0	255					255					255			0	0	255					255					255			0	0	255			0	0	255					255					255					255			0	0	255			0	0	255					255					255	0	0	0	xxx	xxx				
Expansion	***********																																																																																																																																																																							
Small Charm	小型咒符	0	100	28	1				0	scha			0			4	0	1	2000	45000	cm1	rld	cm1	16	1	1	1	1	0	flpchm1	invchm		0	xxx			small_charm	12	item_charm	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	SmallCharmInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Large Charm	大型咒符	0	100	14	1				0	mcha			0			8	0	1	1000	38000	cm2	rda	cm2	16	1	2	1	2	0	flpchm2	invwnd		0	xxx			large_charm	12	item_charm	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	LargeCharmInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Grand Charm	特大咒符	0	100	1	1				0	lcha			0			12	0	1	600	32000	cm3	rgd	cm3	16	1	3	1	3	0	flpchm3	invsst		0	xxx			grand_charm	12	item_charm	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	GrandCharmInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	8	0	xxx	xxx				
El Rune	符文：艾爾	1	0	11	0	1	1		0	rune	rune1		11			1	0	1	10000		r01	r01	r01	16	1	1	0	0	0	flprun	invrEl		0	xxx			high_rune_1	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	ElRuneInfo				0	0	0	non	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Eld Rune	符文：艾德	1	0	11	0	1	1		0	rune	rune1		11			1	0	1	10000		r02	r02	r02	16	1	1	0	0	0	flprun	invrEld		0	xxx			high_rune_2	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	EldRuneInfo				0	0	0	non	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Tir Rune	符文：特爾	1	0	13	0	1	1		0	rune	rune1		13			2	0	1	10000		r03	r03	r03	16	1	1	0	0	0	flprun	invrTir		0	xxx			high_rune_3	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	TirRuneInfo				0	0	0	non	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Nef Rune	符文：那夫	1	0	13	0	1	1		0	rune	rune1		13			2	0	1	10000		r04	r04	r04	16	1	1	0	0	0	flprun	invrNef		0	xxx			high_rune_4	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	NefRuneInfo				0	0	0	non	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Eth Rune	符文：愛斯	1	0	15	0	1	1		0	rune	rune1		15			3	0	1	10000		r05	r05	r05	16	1	1	0	0	0	flprun	invrEth		0	xxx			high_rune_5	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	EthRuneInfo				0	0	0	non	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Ith Rune	符文：伊司	1	0	15	0	1	1		0	rune	rune1		15			3	0	1	10000		r06	r06	r06	16	1	1	0	0	0	flprun	invrIth		0	xxx			high_rune_6	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	IthRuneInfo				0	0	0	non	0					255					255			1	1	255					255					255			1	1	255					255					255			1	1	255			1	1	255					255					255					255			1	1	255			1	1	255					255					255	0	0	0	xxx	xxx				
Tal Rune	符文：塔爾	1	0	17	0	1			0	rune	rune1		17			4	0	1	10000		r07	r07	r07	16	1	1	0	0	0	flprun	invrTal		0	xxx			high_rune_7	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	TalRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Ral Rune	符文：拉爾	1	0	19	0	1			0	rune	rune1		19			5	0	1	10080		r08	r08	r08	16	1	1	0	0	0	flprun	invrRal		0	xxx			high_rune_8	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	RalRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Ort Rune	符文：歐特	1	0	21	0	1			0	rune	rune2		21			6	0	1	13720		r09	r09	r09	16	1	1	0	0	0	flprun	invrOrt		0	xxx			high_rune_9	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	OrtRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Thul Rune	符文：書爾	1	0	23	0	1			0	rune	rune2		23			7	0	1	17920		r10	r10	r10	16	1	1	0	0	0	flprun	invrThul		0	xxx			high_rune_10	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	ThulRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Amn Rune	符文：安姆	1	0	25	0	1			0	rune	rune2		25			8	0	1	11340		r11	r11	r11	16	1	1	0	0	0	flprun	invrAmn		0	xxx			high_rune_11	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	AmnRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Sol Rune	符文：索爾	1	0	27	0	1			0	rune	rune2		27			9	0	1	14000		r12	r12	r12	16	1	1	0	0	0	flprun	invrSol		0	xxx			high_rune_12	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	SolRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Shael Rune	符文：夏	1	0	29	0	1			0	rune	rune2		29			10	0	1	16940		r13	r13	r13	16	1	1	0	0	0	flprun	invrShae		0	xxx			high_rune_13	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	ShaelRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Dol Rune	符文：多爾	1	0	31	0	1			0	rune	rune2		31			11	0	1	20160		r14	r14	r14	16	1	1	0	0	0	flprun	invrDol		0	xxx			high_rune_14	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	DolRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Hel Rune	符文：海爾	1	0	33	0	1			0	rune	rune2		0			12	0	1	10000		r15	r15	r15	16	1	1	0	0	0	flprun	invrHel		0	xxx			high_rune_15	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	HelRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Io Rune	符文：埃歐	1	0	35	0	1			0	rune	rune2		35			13	0	1	27440		r16	r16	r16	16	1	1	0	0	0	flprun	invrIo		0	xxx			high_rune_16	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	IoRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Lum Rune	符文：盧姆	1	0	37	0	1			0	rune	rune3		37			14	0	1	31500		r17	r17	r17	16	1	1	0	0	0	flprun	invrLum		0	xxx			high_rune_17	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	LumRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Ko Rune	符文：科	1	0	39	0	1			0	rune	rune3		39			15	0	1	35840		r18	r18	r18	16	1	1	0	0	0	flprun	invrKo		0	xxx			high_rune_18	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	KoRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Fal Rune	符文：法爾	1	0	41	0	1			0	rune	rune3		41			16	0	1	40460		r19	r19	r19	16	1	1	0	0	0	flprun	invrFal		0	xxx			high_rune_19	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	FalRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Lem Rune	符文：藍姆	1	0	43	0	1			0	rune	rune3		43			17	0	1	45360		r20	r20	r20	16	1	1	0	0	0	flprun	invrLem		0	xxx			high_rune_20	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	LemRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Pul Rune	符文：普爾	1	0	45	0	1			0	rune	rune3		45			18	0	1	50540		r21	r21	r21	16	1	1	0	0	0	flprun	invrPul		0	xxx			high_rune_21	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	PulRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Um Rune	符文：烏姆	1	0	47	0	1			0	rune	rune3		47			19	0	1	56000		r22	r22	r22	16	1	1	0	0	0	flprun	invrUm		0	xxx			high_rune_22	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	UmRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Mal Rune	符文：馬爾	1	0	49	0	1			0	rune	rune3		49			20	0	1	61740		r23	r23	r23	16	1	1	0	0	0	flprun	invrMal		0	xxx			high_rune_23	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	MalRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Ist Rune	符文：伊司特	1	0	51	0	1			0	rune	rune3		51			21	0	1	67760		r24	r24	r24	16	1	1	0	0	0	flprun	invrIst		0	xxx			high_rune_24	12	high_rune_24	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	IstRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Gul Rune	符文：古爾	1	0	53	0	1			0	rune	rune4		53			22	0	1	74060		r25	r25	r25	16	1	1	0	0	0	flprun	invrGul		0	xxx			high_rune_25	12	high_rune_25	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	GulRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Vex Rune	符文：伐克斯	1	0	55	0	1			0	rune	rune4		55			23	0	1	80640		r26	r26	r26	16	1	1	0	0	0	flprun	invrVex		0	xxx			high_rune_26	12	high_rune_26	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	VexRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Ohm Rune	符文：歐姆	1	0	57	0	1			0	rune	rune4		57			24	0	1	87500		r27	r27	r27	16	1	1	0	0	0	flprun	invrOhm		0	xxx			high_rune_27	12	high_rune_27	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	OhmRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Lo Rune	符文：羅	1	0	59	0	1			0	rune	rune4		59			25	0	1	94640		r28	r28	r28	16	1	1	0	0	0	flprun	invrLo		0	xxx			high_rune_28	12	high_rune_28	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	LoRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Sur Rune	符文：瑟	1	0	61	0	1			0	rune	rune4		61			26	0	1	102060		r29	r29	r29	16	1	1	0	0	0	flprun	invrSur		0	xxx			high_rune_29	12	high_rune_29	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	SurRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Ber Rune	符文：貝	1	0	63	0	1			0	rune	rune4		63			27	0	1	109760		r30	r30	r30	16	1	1	0	0	0	flprun	invrBer		0	xxx			high_rune_30	12	high_rune_30	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	BerRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Jah Rune	符文：喬	1	0	65	0	1			0	rune	rune4		65			28	0	1	117740		r31	r31	r31	16	1	1	0	0	0	flprun	invrJo		0	xxx			high_rune_31	12	high_rune_31	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	JahRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Cham Rune	符文：查姆	1	0	67	0	1			0	rune	rune4		67			29	0	1	126000		r32	r32	r32	16	1	1	0	0	0	flprun	invrCham		0	xxx			high_rune_32	12	high_rune_32	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	ChamRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Zod Rune	符文：薩德	1	0	69	0	1			0	rune	rune5		69			30	0	1	134540		r33	r33	r33	16	1	1	0	0	0	flprun	invrZod		0	xxx			high_rune_33	12	high_rune_33	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	ZodRuneInfo				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Jewel	珠寶	0	100	1	1	1			0	jewl			0			8	0	1	1000		jew	gpw	jew	16	1	1	0	0	0	flpgsw	invgswe		0	xxx			item_jewel	12	item_jewel	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	JewelInfo				0	0	0	non	1					255					255			1	1	88			1	1	88					255			1	1	88			1	1	88					255			1	1	88			1	1	88					255					255			1	1	88			1	1	88			1	1	88					255			1	1	88	0	0	0	xxx	xxx				
Token of Absolution	赦免徽章	0	100	0	0				1	ques			0			999	0	1	99999		toa	toa	toa	16	1	1	0	0	0	flprun	invtoa		0	xxx			item_amulet	14	item_book	0	0	5	0	0	0	0	0	0	0			0	-1	13											1	UseTokenOfAbsolution	UseTokenOfAbsolutionController		8	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	255					255					255	0	0	0	xxx	xxx				
