Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	ConditionCalc	firstLadderSeason	lastLadderSeason	noAlwaysSpawn	QuestFlag	QuestFlagEx	*eol
Act 2 Magic B	4	15	1					30	tsc	1	isc	2	mp1	1	mp2	1	mp3	1																				0
Act 2 Magic C	4	18	1					30	tsc	1	isc	2	mp2	1	mp3	1	mp4	1																				0
Act 3 Magic A	4	20	1					30	tsc	1	isc	2	mp3	2	mp4	1																						0
Act 3 Magic B	4	22	1					30	tsc	1	isc	2	mp3	1	mp4	1																						0
Act 3 Magic C	4	24	1					30	tsc	1	isc	2	mp3	1	mp4	1	mp5	1																				0
Act 4 Magic A	4	26	1					30	tsc	1	isc	2	mp3	1	mp4	2	mp5	1																				0
Act 4 Magic B	4	29	1					30	tsc	1	isc	2	mp4	2	mp5	1																						0
Act 5 Magic A	4	32	1					30	tsc	1	isc	2	mp4	1	mp5	1																						0
Act 5 Magic B	4	34	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 5 Magic C	4	36	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 1 (N) Magic A	4	38	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 1 (N) Magic B	4	40	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 2 (N) Magic A	4	42	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 2 (N) Magic B	4	44	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 3 (N) Magic A	4	46	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 3 (N) Magic B	4	48	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 4 (N) Magic A	4	51	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 4 (N) Magic B	4	54	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 5 (N) Magic A	4	57	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 5 (N) Magic B	4	60	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 5 (N) Magic C	4	63	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 1 (H) Magic A	4	66	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 1 (H) Magic B	4	69	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 2 (H) Magic A	4	71	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 2 (H) Magic B	4	73	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 3 (H) Magic A	4	75	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 3 (H) Magic B	4	77	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 4 (H) Magic A	4	79	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 4 (H) Magic B	4	80	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 5 (H) Magic A	4	82	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 5 (H) Magic B	4	83	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 5 (H) Magic C	4	85	1					30	tsc	1	isc	2	mp4	1	mp5	2																						0
Act 1 Good	5	0	1						Jewelry A	6	Chipped Gem	2																										0
Act 2 Good	5	12	1						Jewelry B	25	Chipped Gem	6	Flawed Gem	2	Runes 1	3	Runes 2	3																				0
Act 3 Good	5	18	1						Jewelry C	25	Chipped Gem	4	Flawed Gem	4	Runes 3	3	Runes 4	3																				0
Act 4 Good	5	26	1						Jewelry C	62	Chipped Gem	7	Flawed Gem	14	Normal Gem	42	Runes 5	14	Runes 6	14																		0
Act 5 Good	5	32	1						Jewelry C	62	Chipped Gem	3	Flawed Gem	4	Normal Gem	24	Flawless Gem	4	Runes 7	20																		0
Act 1 (N) Good	5	38	1						Jewelry C	75	Chipped Gem	3	Flawed Gem	4	Normal Gem	28	Flawless Gem	14	Runes 8	28																		0
Act 2 (N) Good	5	42	1						Jewelry C	75	Chipped Gem	2	Flawed Gem	5	Normal Gem	14	Flawless Gem	28	Runes 9	28																		0
Act 3 (N) Good	5	46	1						Jewelry C	75	Chipped Gem	2	Flawed Gem	5	Normal Gem	14	Flawless Gem	28	Runes 10	28																		0
Act 4 (N) Good	5	51	1						Jewelry C	75	Chipped Gem	2	Flawed Gem	5	Normal Gem	14	Flawless Gem	28	Runes 11	28																		0
Act 5 (N) Good	5	57	1						Jewelry C	75	Chipped Gem	2	Flawed Gem	5	Normal Gem	14	Flawless Gem	28	Runes 12	28																		0
Act 1 (H) Good	5	66	1						Jewelry C	75	Perfect Gem	3	Flawed Gem	5	Normal Gem	14	Flawless Gem	28	Runes 13	28																		0
Act 2 (H) Good	5	72	1						Jewelry C	75	Perfect Gem	3	Flawed Gem	5	Normal Gem	14	Flawless Gem	28	Runes 14	28																		0
Act 3 (H) Good	5	78	1						Jewelry C	75	Perfect Gem	3	Flawed Gem	5	Normal Gem	14	Flawless Gem	28	Runes 15	28																		0
Act 4 (H) Good	5	82	1						Jewelry C	75	Perfect Gem	3	Flawed Gem	5	Normal Gem	14	Flawless Gem	28	Runes 16	28																		0
Act 5 (H) Good	5	85	1						Jewelry C	75	Perfect Gem	3	Flawed Gem	5	Normal Gem	14	Flawless Gem	28	Runes 17	28																		0
Act 1 Chest A	6	0	4	728	708	744		22	gld	15	Act 1 Junk	6	Act 1 Equip A	16	Act 1 Good	4																						0
Act 1 Chest B	6	5	4	733	713	749		20	gld	15	Act 1 Junk	5	Act 1 Equip B	17	Act 1 Good	5																						0
Act 1 Chest C	6	9	4	738	718	754		18	gld	15	Act 1 Junk	3	Act 2 Junk	1	Act 1 Equip C	18	Act 1 Good	6																				0
Act 2 Chest A	6	12	4	736	716	752		21	gld	15	Act 2 Junk	6	Act 2 Equip A	17	Act 2 Good	4																						0
Act 2 Chest B	6	15	4	741	721	757		19	gld	15	Act 2 Junk	5	Act 2 Equip B	18	Act 2 Good	5																						0
Act 2 Chest C	6	18	4	746	726	762		17	gld	15	Act 2 Junk	3	Act 3 Junk	1	Act 2 Equip C	19	Act 2 Good	6																				0
Act 3 Chest A	6	20	4	744	724	760		20	gld	15	Act 3 Junk	5	Act 3 Equip A	18	Act 3 Good	5																						0
Act 3 Chest B	6	22	4	749	729	765		18	gld	15	Act 3 Junk	4	Act 3 Equip B	19	Act 3 Good	6																						0
Act 3 Chest C	6	24	4	754	734	770		16	gld	15	Act 3 Junk	3	Act 3 Equip C	20	Act 3 Good	7																						0
Act 4 Chest A	6	26	4	752	732	768		19	gld	15	Act 4 Junk	5	Act 4 Equip A	19	Act 4 Good	5																						0
Act 4 Chest B	6	28	4	757	737	773		17	gld	15	Act 4 Junk	4	Act 4 Equip B	20	Act 4 Good	6																						0
Act 4 Chest C	6	30	4	762	742	778		15	gld	15	Act 4 Junk	3	Act 4 Equip B	21	Act 4 Good	7																						0
Act 5 Chest A	6	32	4	760	740	775		18	gld	15	Act 5 Junk	4	Act 5 Equip A	20	Act 5 Good	6																						0
Act 5 Chest B	6	34	4	765	745	780		16	gld	15	Act 5 Junk	3	Act 5 Equip B	21	Act 5 Good	7																						0
Act 5 Chest C	6	36	4	770	750	785		14	gld	15	Act 5 Junk	2	Act 5 Equip B	22	Act 5 Good	8																						0
Act 1 (N) Chest A	6	38	4	740	720	752		19	gld	15	Act 1 (N) Junk	6	Act 1 (N) Equip A	17	Act 1 (N) Good	4																						0
Act 1 (N) Chest B	6	40	4	745	725	757		17	gld	15	Act 1 (N) Junk	5	Act 1 (N) Equip B	18	Act 1 (N) Good	5																						0
Act 1 (N) Chest C	6	42	4	750	730	762		15	gld	15	Act 1 (N) Junk	4	Act 1 (N) Equip B	19	Act 1 (N) Good	6																						0
Act 2 (N) Chest A	6	44	4	748	728	760		18	gld	15	Act 2 (N) Junk	5	Act 2 (N) Equip A	18	Act 2 (N) Good	5																						0
Act 2 (N) Chest B	6	46	4	753	733	765		16	gld	15	Act 2 (N) Junk	4	Act 2 (N) Equip B	19	Act 2 (N) Good	6																						0
Act 2 (N) Chest C	6	48	4	758	738	770		14	gld	15	Act 2 (N) Junk	3	Act 2 (N) Equip B	20	Act 2 (N) Good	7																						0
Act 3 (N) Chest A	6	50	4	756	736	768		17	gld	15	Act 3 (N) Junk	5	Act 3 (N) Equip A	19	Act 3 (N) Good	5																						0
Act 3 (N) Chest B	6	52	4	761	741	773		15	gld	15	Act 3 (N) Junk	4	Act 3 (N) Equip B	20	Act 3 (N) Good	6																						0
Act 3 (N) Chest C	6	54	4	766	746	778		13	gld	15	Act 3 (N) Junk	3	Act 3 (N) Equip B	21	Act 3 (N) Good	7																						0
Act 4 (N) Chest A	6	56	4	764	744	776		16	gld	15	Act 4 (N) Junk	4	Act 4 (N) Equip A	20	Act 4 (N) Good	6																						0
Act 4 (N) Chest B	6	58	4	769	749	781		14	gld	15	Act 4 (N) Junk	3	Act 4 (N) Equip B	21	Act 4 (N) Good	7																						0
Act 4 (N) Chest C	6	60	4	774	754	786		12	gld	15	Act 4 (N) Junk	2	Act 4 (N) Equip C	22	Act 4 (N) Good	8																						0
Act 5 (N) Chest A	6	62	4	772	752	783		15	gld	15	Act 5 (N) Junk	4	Act 5 (N) Equip A	21	Act 5 (N) Good	6																						0
Act 5 (N) Chest B	6	64	4	777	757	788		13	gld	15	Act 5 (N) Junk	3	Act 5 (N) Equip B	22	Act 5 (N) Good	7																						0
Act 5 (N) Chest C	6	66	4	782	762	793		11	gld	15	Act 5 (N) Junk	2	Act 5 (N) Equip B	23	Act 5 (N) Good	8																						0
Act 1 (H) Chest A	6	68	4	752	732	760		17	gld	15	Act 1 (H) Junk	5	Act 1 (H) Equip A	18	Act 1 (H) Good	5																						0
Act 1 (H) Chest B	6	70	4	757	737	765		15	gld	15	Act 1 (H) Junk	4	Act 1 (H) Equip B	19	Act 1 (H) Good	6																						0
Act 1 (H) Chest C	6	71	4	762	742	770		13	gld	15	Act 1 (H) Junk	3	Act 1 (H) Equip B	20	Act 1 (H) Good	7																						0
Act 2 (H) Chest A	6	72	4	760	740	768		16	gld	15	Act 2 (H) Junk	5	Act 2 (H) Equip A	19	Act 2 (H) Good	5																						0
Act 2 (H) Chest B	6	74	4	765	745	773		14	gld	15	Act 2 (H) Junk	4	Act 2 (H) Equip B	20	Act 2 (H) Good	6																						0
Act 2 (H) Chest C	6	75	4	770	750	778		12	gld	15	Act 2 (H) Junk	3	Act 2 (H) Equip B	21	Act 2 (H) Good	7																						0
Act 3 (H) Chest A	6	76	4	768	748	776		15	gld	15	Act 3 (H) Junk	4	Act 3 (H) Equip A	20	Act 3 (H) Good	6																						0
Act 3 (H) Chest B	6	78	4	773	753	781		13	gld	15	Act 3 (H) Junk	3	Act 3 (H) Equip B	21	Act 3 (H) Good	7																						0
Act 3 (H) Chest C	6	79	4	778	758	786		11	gld	15	Act 3 (H) Junk	2	Act 3 (H) Equip B	22	Act 3 (H) Good	8																						0
Act 4 (H) Chest A	6	80	4	776	756	784		14	gld	15	Act 4 (H) Junk	4	Act 4 (H) Equip A	21	Act 4 (H) Good	6																						0
Act 4 (H) Chest B	6	81	4	781	761	789		12	gld	15	Act 4 (H) Junk	3	Act 4 (H) Equip B	22	Act 4 (H) Good	7																						0
Act 4 (H) Chest C	6	82	4	786	766	794		10	gld	15	Act 4 (H) Junk	2	Act 4 (H) Equip B	23	Act 4 (H) Good	8																						0
Act 5 (H) Chest A	6	83	4	784	764	791		13	gld	15	Act 5 (H) Junk	3	Act 5 (H) Equip A	22	Act 5 (H) Good	7																						0
Act 5 (H) Chest B	6	84	4	789	769	796		11	gld	15	Act 5 (H) Junk	2	Act 5 (H) Equip B	23	Act 5 (H) Good	8																						0
Act 5 (H) Chest C	6	85	4	794	774	861		9	gld	15	Act 5 (H) Junk	1	Act 5 (H) Equip B	24	Act 5 (H) Good	9																						0
Act 1 H2H A	7	0	1					133	gld	21	Act 1 Equip A	16	Act 1 Junk	10	Act 1 Good	3																						0
Act 1 H2H B	7	5	1					133	gld	21	Act 1 Equip B	16	Act 1 Junk	10	Act 1 Good	3																						0
Act 1 H2H C	7	9	1					133	gld	21	Act 1 Equip C	16	Act 1 Junk	10	Act 1 Good	3																						0
Act 2 H2H A	7	12	1					133	gld	21	Act 2 Equip A	16	Act 2 Junk	10	Act 2 Good	3																						0
Act 2 H2H B	7	15	1					133	gld	21	Act 2 Equip B	16	Act 2 Junk	10	Act 2 Good	3																						0
Act 2 H2H C	7	18	1					133	gld	21	Act 2 Equip C	16	Act 2 Junk	10	Act 3 Good	3																						0
Act 3 H2H A	7	20	1					133	gld	21	Act 3 Equip A	16	Act 3 Junk	10	Act 3 Good	3																						0
Act 3 H2H B	7	22	1					133	gld	21	Act 3 Equip B	16	Act 3 Junk	10	Act 3 Good	3																						0
Act 3 H2H C	7	24	1					133	gld	21	Act 3 Equip C	16	Act 3 Junk	10	Act 3 Good	3																						0
Act 4 H2H A	7	26	1					133	gld	21	Act 4 Equip A	16	Act 4 Junk	10	Act 4 Good	3																						0
Act 4 H2H B	7	29	1					133	gld	21	Act 4 Equip B	16	Act 4 Junk	10	Act 4 Good	3																						0
Act 5 H2H A	7	32	1					133	gld	21	Act 5 Equip A	16	Act 5 Junk	10	Act 5 Good	3																						0
Act 5 H2H B	7	34	1					133	gld	21	Act 5 Equip B	16	Act 5 Junk	10	Act 5 Good	3																						0
Act 5 H2H C	7	36	1					133	gld	21	Act 5 Equip C	16	Act 5 Junk	10	Act 5 Good	3																						0
Act 1 (N) H2H A	7	38	1					133	gld	21	Act 1 (N) Equip A	16	Act 1 (N) Junk	10	Act 1 (N) Good	3																						0
Act 1 (N) H2H B	7	40	1					133	gld	21	Act 1 (N) Equip B	16	Act 1 (N) Junk	10	Act 1 (N) Good	3																						0
Act 1 (N) H2H C	7	41	1					133	gld	21	Act 1 (N) Equip B	16	Act 1 (N) Junk	10	Act 1 (N) Good	3																						0
Act 2 (N) H2H A	7	42	1					133	gld	21	Act 2 (N) Equip A	16	Act 2 (N) Junk	10	Act 2 (N) Good	3																						0
Act 2 (N) H2H B	7	44	1					133	gld	21	Act 2 (N) Equip B	16	Act 2 (N) Junk	10	Act 2 (N) Good	3																						0
Act 2 (N) H2H C	7	45	1					133	gld	21	Act 2 (N) Equip B	16	Act 2 (N) Junk	10	Act 2 (N) Good	3																						0
Act 3 (N) H2H A	7	46	1					133	gld	21	Act 3 (N) Equip A	16	Act 3 (N) Junk	10	Act 3 (N) Good	3																						0
Act 3 (N) H2H B	7	48	1					133	gld	21	Act 3 (N) Equip B	16	Act 3 (N) Junk	10	Act 3 (N) Good	3																						0
Act 3 (N) H2H C	7	50	1					133	gld	21	Act 3 (N) Equip B	16	Act 3 (N) Junk	10	Act 3 (N) Good	3																						0
Act 4 (N) H2H A	7	51	1					133	gld	21	Act 4 (N) Equip A	16	Act 4 (N) Junk	10	Act 4 (N) Good	3																						0
Act 4 (N) H2H B	7	54	1					133	gld	21	Act 4 (N) Equip B	16	Act 4 (N) Junk	10	Act 4 (N) Good	3																						0
Act 5 (N) H2H A	7	57	1					133	gld	21	Act 5 (N) Equip A	16	Act 5 (N) Junk	10	Act 5 (N) Good	3																						0
Act 5 (N) H2H B	7	60	1					133	gld	21	Act 5 (N) Equip B	16	Act 5 (N) Junk	10	Act 5 (N) Good	3																						0
Act 5 (N) H2H C	7	62	1					133	gld	21	Act 5 (N) Equip C	16	Act 5 (N) Junk	10	Act 5 (N) Good	3																						0
Act 1 (H) H2H A	7	63	1					133	gld	21	Act 1 (H) Equip A	16	Act 1 (H) Junk	10	Act 1 (H) Good	3																						0
Act 1 (H) H2H B	7	66	1					133	gld	21	Act 1 (H) Equip B	16	Act 1 (H) Junk	10	Act 1 (H) Good	3																						0
Act 1 (H) H2H C	7	68	1					133	gld	21	Act 1 (H) Equip B	16	Act 1 (H) Junk	10	Act 1 (H) Good	3																						0
Act 2 (H) H2H A	7	69	1					133	gld	21	Act 2 (H) Equip A	16	Act 1 (H) Junk	10	Act 2 (H) Good	3																						0
Act 2 (H) H2H B	7	71	1					133	gld	21	Act 2 (H) Equip B	16	Act 1 (H) Junk	10	Act 2 (H) Good	3																						0
Act 2 (H) H2H C	7	73	1					133	gld	21	Act 2 (H) Equip B	16	Act 1 (H) Junk	10	Act 2 (H) Good	3																						0
Act 3 (H) H2H A	7	74	1					133	gld	21	Act 3 (H) Equip A	16	Act 1 (H) Junk	10	Act 3 (H) Good	3																						0
Act 3 (H) H2H B	7	76	1					133	gld	21	Act 3 (H) Equip B	16	Act 1 (H) Junk	10	Act 3 (H) Good	3																						0
Act 3 (H) H2H C	7	77	1					133	gld	21	Act 3 (H) Equip B	16	Act 1 (H) Junk	10	Act 3 (H) Good	3																						0
Act 4 (H) H2H A	7	79	1					133	gld	21	Act 4 (H) Equip A	16	Act 1 (H) Junk	10	Act 4 (H) Good	3																						0
Act 4 (H) H2H B	7	80	1					133	gld	21	Act 4 (H) Equip B	16	Act 1 (H) Junk	10	Act 4 (H) Good	3																						0
Act 5 (H) H2H A	7	82	1					133	gld	21	Act 5 (H) Equip A	16	Act 1 (H) Junk	10	Act 5 (H) Good	3																						0
Act 5 (H) H2H B	7	83	1					133	gld	21	Act 5 (H) Equip B	16	Act 1 (H) Junk	10	Act 5 (H) Good	3																						0
Act 5 (H) H2H C	7	85	1					133	gld	21	Act 5 (H) Equip C	16	Act 1 (H) Junk	10	Act 5 (H) Good	3																						0
Act 1 Cast A	8	0	1					133	gld	18	Act 1 Equip A	15	Act 1 Junk	9	Act 1 Good	3	Act 1 Magic A	7																				0
Act 1 Cast B	8	5	1					133	gld	18	Act 1 Equip B	15	Act 1 Junk	9	Act 1 Good	3	Act 1 Magic B	7																				0
Act 1 Cast C	8	9	1					133	gld	18	Act 1 Equip C	15	Act 1 Junk	9	Act 1 Good	3	Act 1 Magic C	7																				0
Act 2 Cast A	8	12	1					133	gld	18	Act 2 Equip A	15	Act 2 Junk	9	Act 2 Good	3	Act 2 Magic A	7																				0
Act 2 Cast B	8	15	1					133	gld	18	Act 2 Equip B	15	Act 2 Junk	9	Act 2 Good	3	Act 2 Magic B	7																				0
Act 2 Cast C	8	18	1					133	gld	18	Act 2 Equip C	15	Act 2 Junk	9	Act 3 Good	3	Act 2 Magic C	7																				0
Act 3 Cast A	8	20	1					133	gld	18	Act 3 Equip A	15	Act 3 Junk	9	Act 3 Good	3	Act 3 Magic A	7																				0
Act 3 Cast B	8	22	1					133	gld	18	Act 3 Equip B	15	Act 3 Junk	9	Act 3 Good	3	Act 3 Magic B	7																				0
Act 3 Cast C	8	24	1					133	gld	18	Act 3 Equip C	15	Act 3 Junk	9	Act 3 Good	3	Act 3 Magic C	7																				0
Act 4 Cast A	8	26	1					133	gld	18	Act 4 Equip A	15	Act 4 Junk	9	Act 4 Good	3	Act 4 Magic A	7																				0
Act 4 Cast B	8	29	1					133	gld	18	Act 4 Equip B	15	Act 4 Junk	9	Act 4 Good	3	Act 4 Magic B	7																				0
Act 5 Cast A	8	32	1					133	gld	18	Act 5 Equip A	15	Act 5 Junk	9	Act 5 Good	3	Act 5 Magic A	7																				0
Act 5 Cast B	8	34	1					133	gld	18	Act 5 Equip B	15	Act 5 Junk	9	Act 5 Good	3	Act 5 Magic B	7																				0
Act 5 Cast C	8	36	1					133	gld	18	Act 5 Equip C	15	Act 5 Junk	9	Act 5 Good	3	Act 5 Magic C	7																				0
Act 1 (N) Cast A	8	38	1					133	gld	18	Act 1 (N) Equip A	15	Act 1 (N) Junk	9	Act 1 (N) Good	3	Act 1 (N) Magic A	7																				0
Act 1 (N) Cast B	8	40	1					133	gld	18	Act 1 (N) Equip B	15	Act 1 (N) Junk	9	Act 1 (N) Good	3	Act 1 (N) Magic B	7																				0
Act 1 (N) Cast C	8	41	1					133	gld	18	Act 1 (N) Equip B	15	Act 1 (N) Junk	9	Act 1 (N) Good	3	Act 1 (N) Magic B	7																				0
Act 2 (N) Cast A	8	42	1					133	gld	18	Act 2 (N) Equip A	15	Act 2 (N) Junk	9	Act 2 (N) Good	3	Act 2 (N) Magic A	7																				0
Act 2 (N) Cast B	8	44	1					133	gld	18	Act 2 (N) Equip B	15	Act 2 (N) Junk	9	Act 2 (N) Good	3	Act 2 (N) Magic B	7																				0
Act 2 (N) Cast C	8	45	1					133	gld	18	Act 2 (N) Equip B	15	Act 2 (N) Junk	9	Act 2 (N) Good	3	Act 2 (N) Magic B	7																				0
Act 3 (N) Cast A	8	46	1					133	gld	18	Act 3 (N) Equip A	15	Act 3 (N) Junk	9	Act 3 (N) Good	3	Act 3 (N) Magic A	7																				0
Act 3 (N) Cast B	8	48	1					133	gld	18	Act 3 (N) Equip B	15	Act 3 (N) Junk	9	Act 3 (N) Good	3	Act 3 (N) Magic B	7																				0
Act 3 (N) Cast C	8	50	1					133	gld	18	Act 3 (N) Equip B	15	Act 3 (N) Junk	9	Act 3 (N) Good	3	Act 3 (N) Magic B	7																				0
Act 4 (N) Cast A	8	51	1					133	gld	18	Act 4 (N) Equip A	15	Act 4 (N) Junk	9	Act 4 (N) Good	3	Act 4 (N) Magic A	7																				0
Act 4 (N) Cast B	8	54	1					133	gld	18	Act 4 (N) Equip B	15	Act 4 (N) Junk	9	Act 4 (N) Good	3	Act 4 (N) Magic B	7																				0
Act 5 (N) Cast A	8	57	1					133	gld	18	Act 5 (N) Equip A	15	Act 5 (N) Junk	9	Act 5 (N) Good	3	Act 5 (N) Magic A	7																				0
Act 5 (N) Cast B	8	60	1					133	gld	18	Act 5 (N) Equip B	15	Act 5 (N) Junk	9	Act 5 (N) Good	3	Act 5 (N) Magic B	7																				0
Act 5 (N) Cast C	8	62	1					133	gld	18	Act 5 (N) Equip C	15	Act 5 (N) Junk	9	Act 5 (N) Good	3	Act 5 (N) Magic B	7																				0
Act 1 (H) Cast A	8	63	1					133	gld	18	Act 1 (H) Equip A	15	Act 1 (H) Junk	9	Act 1 (H) Good	3	Act 1 (H) Magic A	7																				0
Act 1 (H) Cast B	8	66	1					133	gld	18	Act 1 (H) Equip B	15	Act 1 (H) Junk	9	Act 1 (H) Good	3	Act 1 (H) Magic B	7																				0
Act 1 (H) Cast C	8	68	1					133	gld	18	Act 1 (H) Equip B	15	Act 1 (H) Junk	9	Act 1 (H) Good	3	Act 1 (H) Magic B	7																				0
Act 2 (H) Cast A	8	69	1					133	gld	18	Act 2 (H) Equip A	15	Act 1 (H) Junk	9	Act 2 (H) Good	3	Act 2 (H) Magic A	7																				0
Act 2 (H) Cast B	8	71	1					133	gld	18	Act 2 (H) Equip B	15	Act 1 (H) Junk	9	Act 2 (H) Good	3	Act 2 (H) Magic B	7																				0
Act 2 (H) Cast C	8	72	1					133	gld	18	Act 2 (H) Equip B	15	Act 1 (H) Junk	9	Act 2 (H) Good	3	Act 2 (H) Magic B	7																				0
Act 3 (H) Cast A	8	74	1					133	gld	18	Act 3 (H) Equip A	15	Act 1 (H) Junk	9	Act 3 (H) Good	3	Act 3 (H) Magic A	7																				0
Act 3 (H) Cast B	8	75	1					133	gld	18	Act 3 (H) Equip B	15	Act 1 (H) Junk	9	Act 3 (H) Good	3	Act 3 (H) Magic B	7																				0
Act 3 (H) Cast C	8	77	1					133	gld	18	Act 3 (H) Equip B	15	Act 1 (H) Junk	9	Act 3 (H) Good	3	Act 3 (H) Magic B	7																				0
Act 4 (H) Cast A	8	78	1					133	gld	18	Act 4 (H) Equip A	15	Act 1 (H) Junk	9	Act 4 (H) Good	3	Act 4 (H) Magic A	7																				0
Act 4 (H) Cast B	8	80	1					133	gld	18	Act 4 (H) Equip B	15	Act 1 (H) Junk	9	Act 4 (H) Good	3	Act 4 (H) Magic B	7																				0
Act 5 (H) Cast A	8	81	1					133	gld	18	Act 5 (H) Equip A	15	Act 1 (H) Junk	9	Act 5 (H) Good	3	Act 5 (H) Magic A	7																				0
Act 5 (H) Cast B	8	83	1					133	gld	18	Act 5 (H) Equip B	15	Act 1 (H) Junk	9	Act 5 (H) Good	3	Act 5 (H) Magic B	7																				0
Act 5 (H) Cast C	8	85	1					133	gld	18	Act 5 (H) Equip C	15	Act 1 (H) Junk	9	Act 5 (H) Good	3	Act 5 (H) Magic B	7																				0
Act 1 Miss A	9	0	1					133	gld	18	Act 1 Equip A	13	Act 1 Junk	9	Act 1 Good	3	Act 1 Bow A	6	Ammo	1																		0
Act 1 Miss B	9	5	1					133	gld	18	Act 1 Equip B	13	Act 1 Junk	9	Act 1 Good	3	Act 1 Bow B	6	Ammo	1																		0
Act 1 Miss C	9	9	1					133	gld	18	Act 1 Equip C	13	Act 1 Junk	9	Act 1 Good	3	Act 1 Bow C	6	Ammo	1																		0
Act 2 Miss A	9	12	1					133	gld	18	Act 2 Equip A	13	Act 2 Junk	9	Act 2 Good	3	Act 2 Bow A	6	Ammo	1																		0
Act 2 Miss B	9	15	1					133	gld	18	Act 2 Equip B	13	Act 2 Junk	9	Act 2 Good	3	Act 2 Bow B	6	Ammo	1																		0
Act 2 Miss C	9	18	1					133	gld	18	Act 2 Equip C	13	Act 2 Junk	9	Act 3 Good	3	Act 2 Bow C	6	Ammo	1																		0
Act 3 Miss A	9	20	1					133	gld	18	Act 3 Equip A	13	Act 3 Junk	9	Act 3 Good	3	Act 3 Bow A	6	Ammo	1																		0
Act 3 Miss B	9	22	1					133	gld	18	Act 3 Equip B	13	Act 3 Junk	9	Act 3 Good	3	Act 3 Bow B	6	Ammo	1																		0
Act 3 Miss C	9	24	1					133	gld	18	Act 3 Equip C	13	Act 3 Junk	9	Act 3 Good	3	Act 3 Bow C	6	Ammo	1																		0
Act 4 Miss A	9	26	1					133	gld	18	Act 4 Equip A	13	Act 4 Junk	9	Act 4 Good	3	Act 4 Bow A	6	Ammo	1																		0
Act 4 Miss B	9	29	1					133	gld	18	Act 4 Equip B	13	Act 4 Junk	9	Act 4 Good	3	Act 4 Bow B	6	Ammo	1																		0
Act 5 Miss A	9	32	1					133	gld	18	Act 5 Equip A	13	Act 5 Junk	9	Act 5 Good	3	Act 5 Bow A	6	Ammo	1																		0
Act 5 Miss B	9	34	1					133	gld	18	Act 5 Equip B	13	Act 5 Junk	9	Act 5 Good	3	Act 5 Bow B	6	Ammo	1																		0
Act 5 Miss C	9	36	1					133	gld	18	Act 5 Equip C	13	Act 5 Junk	9	Act 5 Good	3	Act 5 Bow B	6	Ammo	1																		0
Act 1 (N) Miss A	9	38	1					133	gld	18	Act 1 (N) Equip A	13	Act 1 (N) Junk	9	Act 1 (N) Good	3	Act 1 (N) Bow A	6	Ammo	1																		0
Act 1 (N) Miss B	9	40	1					133	gld	18	Act 1 (N) Equip B	13	Act 1 (N) Junk	9	Act 1 (N) Good	3	Act 1 (N) Bow B	6	Ammo	1																		0
Act 1 (N) Miss C	9	41	1					133	gld	18	Act 1 (N) Equip B	13	Act 1 (N) Junk	9	Act 1 (N) Good	3	Act 1 (N) Bow B	6	Ammo	1																		0
Act 2 (N) Miss A	9	42	1					133	gld	18	Act 2 (N) Equip A	13	Act 2 (N) Junk	9	Act 2 (N) Good	3	Act 2 (N) Bow A	6	Ammo	1																		0
Act 2 (N) Miss B	9	44	1					133	gld	18	Act 2 (N) Equip B	13	Act 2 (N) Junk	9	Act 2 (N) Good	3	Act 2 (N) Bow B	6	Ammo	1																		0
Act 2 (N) Miss C	9	45	1					133	gld	18	Act 2 (N) Equip B	13	Act 2 (N) Junk	9	Act 2 (N) Good	3	Act 2 (N) Bow B	6	Ammo	1																		0
