index	*ID	set	disabled	spawnable	disableChronicle	DropConditionCalc	firstLadderSeason	lastLadderSeason	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Bane's Oathmaker	132	Bane's Garments		1					kri	Kriss	7	7	8			invdgr					5	2500	2	move1		20	20	dmg/lvl	8																															mana-kill		3	3					deadly		30	30																														0
Bane's Wraithskin	133	Bane's Garments		1					hla	Hard Leather Armor	7	7	8	dred	dred						5	2500	2	ac		50	50	res-mag		30	30																													balance1		25	25					att/lvl	16																																0
Bane's Authority	134	Bane's Garments		1					vbl	Light Belt	7	7	8	dred	dred						5	2500	2	cast1		10	10	hp		20	20																																					enr		15	15																														0
Horazon's Countenance	135	Horazon's Splendor		1					usk	Demonhead	7	40	62			invmsk					5	5000	2	att%/lvl	2			war		1	1	str		10	20	red-mag		7	10																					hp%		5	5													str		15	15																						0
Horazon's Dominion	136	Horazon's Splendor		1					xpl	Russet Armor	7	40	55								5	5000	2	skilltab	21	2	2	ac%		75	100	mana		75	100	res-cold		15	25	res-fire		15	25	res-ltng		15	25													res-pois		25	25													vit		15	15													red-dmg%		15	15						0
Horazon's Hold	137	Horazon's Splendor		1					xlg	Demonhide Gloves	7	40	48								5	5000	2	crush		10	10	att		95	150	dex		10	15	dmg-fire		140	270	hp		30	40																	swing1		30	30					manasteal		7	7					lifesteal		7	7																						0
Horazon's Legacy	138	Horazon's Splendor		1					utb	Mirrored Boots	7	40	67								5	5000	2	move1		30	30	str		10	15	dex		10	15	res-mag		20	30	nofreeze		1	1	ease		-30	-30													move2		10	10																																						0
Horazon's Secrets	139	Horazon's Splendor		1					wad	Occult Codex	7	40	57			invbbb					5	5000	2	skilltab	22	2	2	balance1		30	30	block		20	20	vit		20	30	hp		30	50																	res-pois-len		75	75					pierce-fire		25	25					enr		15	15																						0
Jakira's Strike	140	Midnight Calling		1	1				axf	Hatchet hands	7	10	12	lgry	lgry						5	5000	2	dmg%		120	120	lifesteal		5	5																													dmg-min		15	15																																						0
Jakira's Braces	141	Midnight Calling		1	1				mgl	Chain Gloves	7	10	10	lgry	lgry						5	5000	2	swing1		10	10	ac%		75	75	hp		25	35																																	skilltab	18	2	2																														0
Jakira's Hood	142	Midnight Calling		1	1				cap	Cap	7	10	5	lgry	lgry						5	5000	2	ass		1	1	ac		15	25	mana		20	30																									red-mag		6	6																																						0
Jakira's Leather Jerkin	143	Midnight Calling		1	1				stu	Studded Leather Armor	7	10	9	lgry	lgry						5	5000	2	ac		35	50	dex		15	15	str		15	15																																	red-dmg		8	8																														0
Peace Ring	144	Nature's Grove		1	1				rin	Ring	5	12	12								5	5000	2	mana		40	50	hp		40	50																																																																						0
Balance of Power	145	Nature's Grove		1	1				mau	Maul	7	12	18	dyel	dyel						5	5000	2	dmg%		140	200	swing1		15	15																													dmg-cold	75	10	30																																						0
Calming Embrace	146	Nature's Grove		1	1				hla	Hard Leather Armor	7	12	7	dyel	dyel						5	5000	2	ac%		80	120	skilltab	15	1	3																																					regen		3	3					regen-mana		75	75																						0
Animal Kinship	147	Nature's Grove		1	1				dr3	Antlers	7	12	15	dyel	dyel						5	5000	2	ac		30	40	dru		1	1																																													skill	Shape Shifting	4	4																						0
Grimlock's Skull	148	Grimlock's Grave		1	1				ne2	Zombie Head	7	11	16	blac	blac						5	5000	2	block		25	30	block1		20	20																													ac%		100	100																																						0
Grimlock's Wand	149	Grimlock's Grave		1	1				bwn	Bone Wand	7	11	15	blac	blac						5	5000	2	nec		1	1	mana		33	33																																					dmg-norm		8	20																														0
Grimlock's Shroud	150	Grimlock's Grave		1	1				qui	Quilted Armor	7	11	11	blac	blac						5	5000	2	red-dmg%		10	10	gethit-skill	Frost Nova	15	2																													ac		77	77					regen-mana		40	40																														0
Grimlock's Belt	151	Grimlock's Grave		1	1				mbl	Belt	7	11	9	blac	blac						5	5000	2	hp		20	25	balance1		15	15																													ac		20	20																																						0
Corgina's Orb	152	Corgina's Element		1	1				ob2	Sacred Globe	7	15	15								5	5000	2	sor		1	1	mana-kill		2	4																													skilltab	5	1	1					skilltab	4	1	1					skilltab	3	1	1																						0
Corgina's Plate	153	Corgina's Element		1	1				ltp	Light Plate	7	20	21								5	5000	2	ac%		75	105	res-all		20	20																													dmg-to-mana		10	10					mana/lvl	8																																0
Corgina's Ward	154	Corgina's Element		1	1				lrg	Large Shield	7	12	14								5	5000	2	ac		20	30	block		15	25																													block1		15	15					res-cold		20	20					res-ltng		20	20																						0
Corgina's Slippers	155	Corgina's Element		1	1				lbt	Boots	7	9	9								5	5000	2	move2		20	20	balance2		20	20																													res-fire		20	20					res-pois		20	20																														0
Sheena's Heartwood	156	Sheena's Grace		1	1				am1	Stag Bow	7	15	15	dred	dred						5	5000	2	dmg-norm		15	30	openwounds		35	55																																													swing2		25	25																						0
Sheena's Choker	157	Sheena's Grace		1	1				amu	Amulet	5	12	12								5	5000	2	allskills		1	1																																									res-all		12	12																														0
Sheena's Elven Mail	158	Sheena's Grace		1	1				scl	Scale Mail	7	16	14	dgld	dgld						5	5000	2	ac	0	100	150	dex		15	15																													red-dmg		12	12					red-mag		8	8					lifesteal		5	5																						0
Sheena's Band	159	Sheena's Grace		1	1				vbl	Light Belt	7	8	10	oran	oran						5	5000	2	hp%		5	10	mana		5	10																													vit		10	10																																						0
Berserker's Howl	160	Talonrage's Fury		1	1				ba4	Assault Helmet	7	18	18								5	5000	2	bar		1	1	oskill	Terror	1	1																																					skilltab	12	1	1																														0
Chaos Heart	161	Talonrage's Fury		1	1				fld	Field Plate	7	20	22	dred	dred						5	5000	2	ac%		90	120	sock		2	2																													hp		40	40													red-dmg%		10	10																						0
Warlord's Pike	162	Talonrage's Fury		1	1				pik	Pike	7	20	20	dblu	dblu						5	5000	2	dmg%		110	140	rep-dur	5																															swing2		30	30																																						0
Shattering Fist	163	Talonrage's Fury		1	1				hgl	Gauntlets	7	20	21	oran	oran						5	5000	2	ac		20	30	crush		10	10																																					str		20	20																														0
Greyhawk's Wing	164	Greyhawk's Mantle		1	1				plt	Plate Mail	7	17	19								5	5000	2	ac		75	100	res-ltng		15	20																																													regen		3	3																						0
Greyhawk's Icebrand	165	Greyhawk's Mantle		1	1				scp	Scepter	7	17	14								5	5000	2	dmg%		80	120	dmg-cold	100	10	20																																					gethit-skill	Frozen Armor	15	3																														0
Greyhawk's Deflector	166	Greyhawk's Mantle		1	1				pa3	Heraldic Shield	7	17	15								5	5000	2	sock		1	4	block		15	15																																					block3		25	25																														0
Greyhawk's Viser	167	Greyhawk's Mantle		1	1				fhl	Full Helm	7	17	13								5	5000	2	ac		20	30	manasteal		3	5																																					hp		20	20																														0
Dragon's Flank	168	Silent Runnings		1	1				bsh	Bone Shield	7	14	18	dblu	dblu						5	5000	2	ac%		65	90	red-dmg%		5	10																													block		20	20																																						0
Ferrit's Paw	169	Silent Runnings		1	1				vgl	Heavy Gloves	7	12	14	whit	whit						5	5000	2	swing2		20	20	lifesteal		4	6																																					mag%		25	25																														0
Turtle's Shell	170	Silent Runnings		1	1				ful	Full Plate Mail	7	22	23	dgrn	dgrn						5	5000	2	ac%		90	130	balance2		20	20																																					red-dmg%		8	8																														0
Wolf Pelt	171	Silent Runnings		1	1				tbl	Heavy Belt	7	14	14	dgld	dgld						5	5000	2	hp		35	50	res-all		10	15																																					ac		20	20																														0
Beast Collar	172	Silent Runnings		1	1				bhm	Bone Helm	7	15	15								5	5000	2	dmg%		20	30	dmg-mag		20	30																																																																						0
Jeweled Circlet	173	Snowmane's Jewelry		1	1				ci0	Circlet	7	22	22								5	5000	2	str		15	15	vit		15	15																													hp		20	20					balance1		15	15																														0
Jeweled Belt	174	Snowmane's Jewelry		1	1				hbl	Plated Belt	7	22	22								5	5000	2	ac%		100	125	res-all		10	15																																													red-dmg%		10	10																						0
Ruby Ring	175	Snowmane's Jewelry		1	1				rin	Ring	4	22	22								5	5000	2	res-all		10	15	red-mag		6	8																																					hp		30	30					mag%		15	15																						0
Diamond Necklace	176	Snowmane's Jewelry		1	1				amu	Amulet	4	22	22								5	5000	2	res-all		15	20	mag%		20	30																																					allskills		1	1																														0
Winter's Heart	177	Four Seasons		1	1				aar	Ancient Armor	7	20	25	whit	whit						5	5000	2	pierce-cold		10	15	extra-cold		10	15																													abs-cold%		10	10					res-cold-max		10	10					nofreeze		1	1																						0
Spring Dawning	178	Four Seasons		1	1				ghm	Great Helm	7	20	22	cblu	cblu						5	5000	2	pierce-ltng		10	15	extra-ltng		10	15																													abs-ltng%		10	10					res-ltng-max		10	10																														0
Summer Flame	179	Four Seasons		1	1				hbt	Greaves	7	20	21	dred	dred						5	5000	2	pierce-fire		10	15	extra-fire		10	15																													abs-fire%		10	10					res-fire-max		10	10																														0
Autumn's Decay	180	Four Seasons		1	1				tgl	Light Gauntlets	7	20	19	oran	oran						5	5000	2	pierce-pois		10	15	extra-pois		10	15																													res-mag		10	10					res-pois-max		10	10					res-pois-len		75	75																						0
Fernandez' Plate	181	Forgotten Treasures		1	1				brs	Breast Plate	7	15	15								5	5000	2	ac%		75	120	sock		3	3																																																	res-mag		10	10									red-dmg%		15	15						0
Katriana's Mask	182	Forgotten Treasures		1	1				msk	Mask	7	15	15								5	5000	2	ac%		60	100	sock		3	3																													mana		30	30																					regen-mana		50	50														0
Luther's Cord	183	Forgotten Treasures		1	1				tbl	Heavy Belt	7	10	10								5	5000	2	ac		20	30	regen		2	5																																					hp		50	50					manasteal		5	5																						0
Janis' Gloves	184	Forgotten Treasures		1	1				vgl	Heavy Gloves	7	10	10								5	5000	2	ac		20	30	swing2		20	20																																																	lifesteal		5	5									str		10	10						0
Xavier's Greaves	185	Forgotten Treasures		1	1				tbt	Light Plate Greaves	7	15	15								5	5000	2	ac%		80	110	move2		30	30																																					balance2		20	20													dex		10	10														0
Quincy's Shield	186	Forgotten Treasures		1	1				spk	Spike Shield	7	10	10								5	5000	2	ac%		100	135	sock		3	3																													block2		25	25													block		20	20																						0
Power of Brother Laz	187	Insight of Brother Laz		1	1				xtg	Battle Gauntlets	7	30	33								5	5000	2	swing1		10	10	manasteal		4	6	res-fire		15	20	ac%		80	100																													str		15	15																														0
Prayer of Brother Laz	188	Insight of Brother Laz		1	1				pa8	Protector Shield	7	30	38								5	5000	2	block		20	30	block2		20	20	balance2		20	20	ac/lvl	8																																															gethit-skill	Frozen Orb	7	1														0
Brother Laz' Holy Symbol	189	Insight of Brother Laz		1	1				amu	Amulet	5	30	40								5	5000	2	pal		1	1	hp		25	50	res-ltng		25	50	res-pois-len		60	80																					mana		25	25					gethit-skill	Mind Blast	9	2																														0
Wrath of Brother Laz	190	Insight of Brother Laz		1	1				9sc	Rune Scepter	7	30	29								5	5000	2	dmg%		160	190	dmg-norm		20	40	pal		1	1	ignore-ac		1	1																													hit-skill	Fire Wall	12	1					dmg/lvl	8																								0
Brother Laz' Faith	191	Insight of Brother Laz		1	1				xld	Sharktooth Armor	7	30	36								5	5000	2	ac%		100	200	red-dmg%		15	15	res-mag		15	20	regen-mana		50	50																																					gethit-skill	War Cry	6	2					regen		3	3														0
Aragorn's Contempt	192	Aragorn's Scorn		1	1				xui	Ghost Armor	7	30	33	oran	oran						5	5000	2	ac%		100	120	res-fire		25	35	red-dmg		15	25	res-mag		10	10																																																														0
Aragorn's Derision	193	Aragorn's Scorn		1	1				9wa	Naga	7	30	40								5	5000	2	dmg%		120	200	dmg-fire		150	250	pierce-fire		15	20																									heal-kill		8	12													dmg-norm		45	135																						0
Aragorn's Indignation	194	Aragorn's Scorn		1	1				uml	Luna	7	60	62	dgrn	dgrn						5	5000	2	ac/lvl	16			block		20	30	block2		20	20	noheal		1	1	res-cold		25	35																																																										0
Aragorn's Disdain	195	Aragorn's Scorn		1	1				xhb	War Boots	7	30	43	oran	oran						5	5000	2	ac%		100	125	move2		20	20	kick		8	15	manasteal		3	6																													dex		25	25																														0
Winter's Embrace	196	Bogrot's Magic		1	1				xea	Serpentskin	7	30	34	dblu	dblu						5	5000	2	allskills		1	1	nofreeze		1	1	ac		250	350	pierce-cold		10	20																																																														0
Baptism by Fire	197	Bogrot's Magic		1	1				9ma	Flanged Mace	7	30	31	dred	dred						5	5000	2	allskills		2	2	cast2		20	20	mana		35	50	aura	102	3	5																													regen-mana		50	50																														0
Between Fire and Ice	198	Bogrot's Magic		1	1				urg	Hyperion	7	48	48								5	5000	2	allskills		1	1	mag%		40	75	block3		35	35	balance3		30	30	str		15	25																																																										0
Call of Gylandra	199	Cedric's Jinx		1	1				xla	Demonhide Armor	7	30	36								5	5000	2	ac%		120	200	red-dmg%		15	25	res-all		15	25	addxp		10	15																													ac/lvl	40																																0
Return to Hydrakal	200	Cedric's Jinx		1	1				7wh	Legendary Mallet	7	60	75								5	5000	2	dmg%		175	225	swing3		60	60	sock		2	2																									manasteal		6	6					lifesteal		6	6																														0
Neprida's Kiss	201	Cedric's Jinx		1	1				xrg	Scutum	7	30	43								5	5000	2	ac/lvl	13			block		10	20	ignore-ac		1	1	dmg%		35	50																																																														0
Warder's Vest	202	Dragon Reborn		1	1				xtu	Trellised Armor	7	30	41								5	5000	2	mag%		25	30	gold%		75	75	ac%		160	200																									heal-kill		10	10													mana-kill		3	3																						0
Heron-Branded Blade	203	Dragon Reborn		1	1				9cr	Demensional Blade	7	30	44								5	5000	2	dmg-min		35	50	dmg-max		100	140	hit-skill	Weaken	4	20	dmg-demon		200	200	abs-fire		10	15	abs-cold		10	15																																																						0
Ter'Angreal Ring	204	Dragon Reborn		1	1				rin	Ring	3	60	67								5	5000	2	swing1		5	5	cast1		10	10	all-stats		8	15	allskills		1	1																																													hp		40	40														0
Ser'Angreal Necklace	205	Dragon Reborn		1	1				amu	Amulet	3	60	67								5	5000	2	balance1		10	10	block		5	10	addxp		10	15																																																	gethit-skill	Decrepify	35	1					allskills		1	1						0
Taint of Saidin	206	Dragon Reborn		1	1				uuc	Heater	7	60	67								5	5000	2	ac%		130	150	regen		5	8	block		10	25	block2		20	20	balance2		20	20																																																										0
Aviendha's Gift	207	Dragon Reborn		1	1				vbt	Heavy Boots	7	10	21	dgld	dgld						5	5000	2	ac		25	35	dex		10	10																													mag%		25	25					move2		30	30					res-all		15	15					mana/lvl	5							hp/lvl	8								0
Heroes Stand	208	Soldier's Cairn		1	1				xng	Linked Mail	7	30	35		whit						5	5000	2	ac%		130	170	dmg%		50	75	balance3		30	30																																																																		0
Warrior's Heroism	209	Soldier's Cairn		1	1				9cm	Dacian Falx	7	30	55	blac	dgry						5	5000	2	dmg%		200	300	swing2		20	20	sock		1	4																									lifesteal		8	8	oskill	Melee Mastery	3	3	dmg-norm		100	150																														0
Martyr's Principle	210	Soldier's Cairn		1	1				utg	Crasader Gauntlets	7	60	73	lyel	lyel						5	5000	2	ac		100	160	swing3		25	25	deadly		7	15	addxp		10	10																					allskills		1	1																																						0
Judicial Decree	211	Gweibret's Rule		1	1				xcl	Tigulated Mail	7	30	40	dpur	dpur						5	5000	2	ac%		170	210	balance3		30	30	hp/lvl	10			mana/lvl	6																																																																0
Regime of Regulation	212	Gweibret's Rule		1	1				7sm	Ataghan	7	60	69	dpur	dpur						5	5000	2	dmg%		240	290	dmg-norm		30	80	swing1		15	15	extra-ltng		25	25	abs-ltng		8	15																																																										0
King's Prescript	213	Gweibret's Rule		1	1				xit	Dragon Shield	7	30	46	dpur	dpur						5	5000	2	ac%		125	125	red-dmg%		15	15	res-all		15	20	sock		1	1																													block		20	20					block2		20	20																						0
Born Supremacy	214	Gweibret's Rule		1	1				umc	Mithril Coil	7	60	70								5	5000	2	ac/lvl	13			hp%		25	25																													cast1		10	10					mana		30	30					regen-mana		50	50																						0
Dominion's Thesis	215	Gweibret's Rule		1	1				amu	Amulet	3	50	50								5	5000	2	bar		1	2	str		30	40	dmg-min		10	15	swing1		10	10																																																														0
Astral Body	216	Haunted Asylum		1	1				xhn	Mesh Armor	7	30	44	cblu	cblu						5	5000	2	ac%		175	225	swing1		15	15	balance1		15	15	block1		15	15	fade		1	1																																	ac		200	200					mag%		50	50														0
Apparition of Malice	217	Haunted Asylum		1	1				9ls	Rune Sword	7	30	42								5	5000	2	dmg%		200	250	ac		225	250	extra-cold		10	15	pierce-cold		15	20																																					dmg-norm		25	75																						0
Phantasm of Horror	218	Haunted Asylum		1	1				xsh	Grim Shield	7	30	47		lgry						5	5000	2	ac%		75	100	block		40	40	block1		15	15	dmg-demon		100	100																																													res-all		25	25														0
Haunted Wisdom	219	Haunted Asylum		1	1				uhl	Giant Conch	7	60	65								5	5000	2	ac/lvl	14			ac%		75	100	allskills		1	1	cast3		30	30	regen-mana		75	75	mag%		20	50																																																						0
Revenant's Claw	220	Haunted Asylum		1	1				utg	Crusader Gauntlets	7	60	72								5	5000	2	ac%		180	220	skilltab	12	1	3	hp		30	50	lifesteal		5	5																																																														0
Alyssa's Essence	221	Alyssa's Archery		1	1				xpl	Russet Armor	7	30	47	lgrn	lgrn						5	5000	2	ac%		135	180	knock		3	3	manasteal		4	8	lifesteal		8	8																																																														0
Alyssa's Leafblighter	222	Alyssa's Archery		1	1				8l8	Long Siege Bow	7	30	44	whit	whit						5	5000	2	dmg%		180	220	swing2		20	20	sock		3	3																									dmg/lvl	16							dmg-min		50	50																														0
Alyssa's Sandals	223	Alyssa's Archery		1	1				ulb	Wyrmhide Boots	7	60	60	lgrn	lgrn						5	5000	2	ac%		160	200	dmg-norm		5	10	dmg%		20	30	str		15	15																													move3		30	30																														0
Unholy Vows	224	Forbidden Lore		1	1				xlt	Templar Coat	7	30	46	lgry	dgry						5	5000	2	ac%		150	190	hp		75	100	regen		20	30	regen-mana		100	150																																																														0
Vampirebone Dagger	225	Forbidden Lore		1	1				7dg	Bone Knife	7	60	63		lgry						5	5000	2	dmg%		220	250	swing2		20	20	extra-pois		10	20	pierce-pois		10	20	cast2		20	20	nec		1	2																																																						0
Wall of Modius	226	Forbidden Lore		1	1				bsh	Bone Shield	7	12	16		blac						5	5000	2	aura	103	7	10	dmg-to-mana		15	15																													block		22	22					dex		15	15					mag%		25	25																						0
Death's Door	227	Forbidden Lore		1	1				zvb	Sharkskin Belt	7	30	32		dgry						5	5000	2	ac%		120	130	mana		55	75	mana-kill		2	4	addxp		10	10																																																														0
Hannibal's Shattered Plate	228	Hannibal's Demise		1	1				xld	Sharktooth Armor	7	30	48								5	5000	2	ac%		130	160	ac/lvl	24			red-dmg%		15	15	openwounds		35	50	pierce		50	50																																																										0
Hannibal's Final Flight	229	Hannibal's Demise		1	1				7bk	Winged Knife	7	60	62								5	5000	2	dmg%		200	300	swing2		20	20	slow		75	75	reduce-ac		20	30	nofreeze		1	1																	mag%		100	100					dmg-throw		25	75																														0
Hannibal's Blurred Vision	230	Hannibal's Demise		1	1				xhl	Basinet	7	30	38								5	5000	2	ac%		170	200	all-stats		10	20	addxp		10	10	res-fire		25	35																													res-ltng		30	30																														0
Hannibal's Bending Knee	231	Hannibal's Demise		1	1				xtb	Battle Boots	7	30	45								5	5000	2	ac%		100	120	dex		15	15	gold%		300	300																									move2		20	20					att		100	100																														0
Great White Terror	232	Terror of the Deep		1	1				uld	Kraken Shell	7	60	74	whit	dgry						5	5000	2	red-dmg%		25	25	red-dmg		35	50	res-ltng		-50	-50	res-fire		75	75	move3		20	20																																																										0
Feeding Frenzy	233	Terror of the Deep		1	1				7wc	Great Thresher	7	60	77	dred	dred						5	5000	2	dmg%		220	290	ease		-25	-25	lifesteal		6	6	manasteal		6	6	bar		3	3																									dmg-norm		50	250					swing3		45	45																						0
Mako's Quickness	234	Terror of the Deep		1	1				zvb	Sharkskin Belt	7	30	39	lblu							5	5000	2	ac%		130	160	move1		15	15	balance1		15	15	dex		25	25	oskill	avoid	4	8																																																										0
Hammerhead's Persistence	235	Terror of the Deep		1	1				xvb	Sharkskin Boots	7	30	44	lgry							5	5000	2	ac%		100	100	red-dmg%		10	10	crush		15	25	hp		60	90																																																														0
Angels	236	Celestial Hierarchy		1	1				uth	Lacquered Plate	7	60	81								5	5000	2	cast2		20	20	block2		20	25	balance2		20	20	mag%/lvl	12			sock		1	2	swing2		20	20																																																						0
Principality	237	Celestial Hierarchy		1	1				9b9	Gothic Sword	7	30	45								5	5000	2	dmg%		260	300	deadly		15	15	crush		15	15	regen		-1	-5	swing2		20	20																	dmg-mag		100	200					dmg-cold		100	200					dmg-fire		100	200					dmg-ltng		64	200					dmg-max		250	250						0
Virtue	238	Celestial Hierarchy		1	1				zlb	Demonhide Sash	7	30	36								5	5000	2	ac%		80	110	hp		35	50	mana-kill		7	7	regen		6	6																													regen-mana		50	50					res-all		10	10					mag%		35	35														0
Dominion	239	Celestial Hierarchy		1	1				utb	Mirrored Boots	7	60	70								5	5000	2	ac%		180	210	ease		-20	-20	move3		50	50	dex		-20	-20	balance2		-20	-20																																									str		35	35														0
Cherubim	240	Celestial Hierarchy		1	1				ulm	Armet	7	60	61								5	5000	2	allskills		1	1	ac		150	200	mana		30	30	res-pois		25	25	enr/lvl	6																																																												0
Seraphim	241	Celestial Hierarchy		1	1				rin	Ring	5	49	49								5	5000	2	allskills		1	1	dmg%		25	25	heal-kill		10	10	addxp		4	6	cheap		5	10																																																										0
Mephisto's Misty Aura	242	Lords of Hell		1	1				uul	Shadow Plate	7	60	80								5	5000	2	gethit-skill	Cloak of Shadows	20	8	light		-4	-4	ac%		140	160	aura	109	1	1																																																														0
Diablo's Soulstone Ring	243	Lords of Hell		1	1				rin	Ring	3	77	77								5	5000	2	allskills		1	1	hp		50	50	mana		50	50	red-dmg%		10	10	red-mag		20	25																																	mag%		50	50																						0
Baal's Cryptic Amulet	244	Lords of Hell		1	1				amu	Amulet	3	74	74								5	5000	2	allskills		2	2	mag%		35	50	regen		25	25	regen-mana		50	75																																																														0
Heaven's Lances	245	Lords of Hell		1	1				9ts	Harpoon	7	30	51								5	5000	2	dmg%		190	240	stack		75	75	rep-quant	20			knock		2	2	rep-quant	100																			swing2		25	25					oskill	lightning fury	8	8																														0
Demonic Chuckle	246	Corruption Coils		1	1				rin	Ring	1	45	45								5	5000	2	hp		35	50	mana		25	25																													mag%		50	50					extra-fire		40	40																														0
Evil Humor	247	Corruption Coils		1	1				rin	Ring	1	45	45								5	5000	2	hp		35	50	mana		25	25																													gold%		100	100					extra-ltng		40	40																														0
Temptation's Death	248	Corruption Coils		1	1				amu	Amulet	1	45	45								5	5000	2	hp		50	75	mana		40	40																													gethit-skill	Taunt	10	20					extra-cold		40	40																														0
Maadi's Silence	249	Maadi's Paradox		1	1				uvg	Vampirebone gloves	7	47	47								5	5000	2	red-mag		10	15	red-dmg		10	15	hp		50	50	ac		50	100																					enr		30	30					skill	Bone Spear	5	5																														0
Maadi's Vision	250	Maadi's Paradox		1	1				uh9	Bone Visage	7	63	63								5	5000	2	ac%		150	200	vit		25	25	balance2		20	30	res-all		10	10	mag%		30	50																	move3		15	20					cast2		15	15																														0
Maadi's Spirit	251	Maadi's Paradox		1	1				uhn	Boneweave	7	47	47								5	5000	2	ac%		150	200	vit		25	25	enr		25	25	mana%		10	15	ac		100	200																	vit		50	50					enr		50	50					abs-mag%		10	10					red-mag		10	10														0
Maadi's Torch	252	Maadi's Paradox		1	1				7gw	Unearthed Wand	7	64	64								5	5000	2	allskills		1	2					cast2		30	30	mag%		10	30																					cast2		25	25					res-all		20	20																														0
Maadi's Soul	253	Maadi's Paradox		1	1				ned	Overseer Skull	7	49	49								5	5000	2	allskills		1	2	cast2		20	30	res-all		20	20	block		20	35	block2		20	35	ac%		150	200																																																						0
The Raven's Talons	254	The Raven's Nest		1	1				lgl	Leather Gloves	7	5	10		blac						5	5000	2	cast2		5	10	res-all		5	10	all-stats		5	10																									res-cold		30	30													cast2		15	15																						0
The Raven's Feet	255	The Raven's Nest		1	1				mbt	Chain Boots	7	5	10		blac						5	5000	2	ac		100	100	res-all		10	10	move2		10	10	mag%		10	25																					move2		30	30					res-all		20	20																														0
The Raven's Wing	256	The Raven's Nest		1	1				xpk	Barbed Shield	7	35	45		blac						5	5000	2	ac%		100	100	block		20	30	block2		20	30	cast2		20	30	move2		20	20	res-all		20	30													abs-cold		15	15					allskills		2	2					res-cold-max		2	2																						0
The Raven's Beak	257	The Raven's Nest		1	1				9bl	Stilleto	7	35	45		blac						5	5000	2	allskills		1	1	cast2		20	30	balance3		15	30	swing2		15	30	ignore-ac		1	1	stupidity		1	1													cast2		10	10																																						0
The Raven's Feathers	258	The Raven's Nest		1	1				uea	Wyrmhide	7	60	60		blac						5	5000	2	ac%		100	125	ac-miss		300	500	move2		20	20	res-cold		30	30	oskill	warmth	2	5	red-dmg		10	15	red-mag		10	15									abs-cold%		10	10					nofreeze		1	1					res-cold-max		3	3																						0
Hand of the Vindicator	259	Tools of Vindication		1	1				whm	War Hammer	7	12	20								5	5000	2	dmg/lvl	8			swing1		20	20	skill	Vengeance	3	3																									swing1		40	40																																						0
Bulwark of the Vindicator	260	Tools of Vindication		1	1				pa9	Gilded Shield	7	59	60								5	5000	2	res-all		35	35	balance1		40	40	block1		55	55	aura	114	12	12																					res-cold		30	30					red-dmg%		15	15	dmg/lvl	8																												0
Belt of the Vindicator	261	Tools of Vindication		1	1				zmb	Mesh Belt	7	40	40								5	5000	2	res-fire		20	20	res-ltng		20	20	res-cold		20	20	mag%		30	30																					res-fire		30	30	dmg/lvl	8			res-ltng		30	30																														0
Panda's Pelt	262	Panda's Polar Adventure		1	1				dr6	Alpha Helm	7	30	55	bwht	bwht						5	5000	2	nofreeze		1	1	oskill	Polar Bear	2	4	move3		30	30	balance2		30	30	allskills		2	3																																																										0
Panda's Mitts	263	Panda's Polar Adventure		1	1				ulg	Bramble Mitts	7	25	45	bwht	bwht						5	5000	2	oskill	Polar Claws	2	5	lifesteal		5	5	swing3		30	30	res-fire		15	15	freeze		1	1																																																										0
Panda's Coat	264	Panda's Polar Adventure		1	1				uui	Dusk Shroud	7	70	80	bwht	bwht						5	5000	2	oskill	warmth	1	1	cast3		15	15	res-cold-max		10	10	allskills		2	3	res-cold		50	50																																																										0
Panda's Sash	265	Panda's Polar Adventure		1	1				lbl	Sash	7	6	12	bwht	bwht						5	5000	2	res-all		10	10	vit		10	10	hp		100	100	gethit-skill	Tornado	20	20																																																														0
Panda's Sled	266	Panda's Polar Adventure		1	1				uow	Aegis	7	50	60	blac	blac						5	5000	2	ease		-30	-30	res-all		25	25	oskill	Summon Spirit Wolf	5	8	block		15	15																																																														0
