index	*ID	set	cannotloot	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Peace Ring	136	Nature's Grove		rin	Ring	5	12	12								5	5000	2	mana		40	50	hp		40	50																																																																						0
Balance of Power	137	Nature's Grove		mau	Maul	7	12	18	dyel	dyel						5	5000	2	dmg%		140	200	swing1		15	15																													dmg-cold	75	10	30																																						0
Calming Embrace	138	Nature's Grove		hla	Hard Leather Armor	7	12	7	dyel	dyel						5	5000	2	ac%		80	120	skilltab	15	1	3																																					regen		3	3					regen-mana		75	75																						0
Animal Kinship	139	Nature's Grove		dr3	Antlers	7	12	15	dyel	dyel						5	5000	2	ac		30	40	dru		1	1																																													skill	Shape Shifting	4	4																						0
Grimlock's Skull	140	Grimlock's Grave		ne2	Zombie Head	7	11	16	blac	blac						5	5000	2	block		25	30	block1		20	20																													ac%		100	100																																						0
Grimlock's Wand	141	Grimlock's Grave		bwn	Bone Wand	7	11	15	blac	blac						5	5000	2	nec		1	1	mana		33	33																																					dmg-norm		8	20																														0
Grimlock's Shroud	142	Grimlock's Grave		qui	Quilted Armor	7	11	11	blac	blac						5	5000	2	red-dmg%		10	10	gethit-skill	Frost Nova	15	2																													ac		77	77					regen-mana		40	40																														0
Grimlock's Belt	143	Grimlock's Grave		mbl	Belt	7	11	9	blac	blac						5	5000	2	hp		20	25	balance1		15	15																													ac		20	20																																						0
Corgina's Orb	144	Corgina's Element		ob2	Sacred Globe	7	15	15								5	5000	2	sor		1	1	mana-kill		2	4																													skilltab	5	1	1					skilltab	4	1	1					skilltab	3	1	1																						0
Corgina's Plate	145	Corgina's Element		ltp	Light Plate	7	20	21								5	5000	2	ac%		75	105	res-all		20	20																													dmg-to-mana		10	10					mana/lvl	8																																0
Corgina's Ward	146	Corgina's Element		lrg	Large Shield	7	12	14								5	5000	2	ac		20	30	block		15	25																													block1		15	15					res-cold		20	20					res-ltng		20	20																						0
Corgina's Slippers	147	Corgina's Element		lbt	Boots	7	9	9								5	5000	2	move2		20	20	balance2		20	20																													res-fire		20	20					res-pois		20	20																														0
Sheena's Heartwood	148	Sheena's Grace		am1	Stag Bow	7	15	15	dred	dred						5	5000	2	dmg-norm		15	30	openwounds		35	55																																													swing2		25	25																						0
Sheena's Choker	149	Sheena's Grace		amu	Amulet	5	12	12								5	5000	2	allskills		1	1																																									res-all		12	12																														0
Sheena's Elven Mail	150	Sheena's Grace		scl	Scale Mail	7	16	14	dgld	dgld						5	5000	2	ac	0	100	150	dex		15	15																													red-dmg		12	12					red-mag		8	8					lifesteal		5	5																						0
Sheena's Band	151	Sheena's Grace		vbl	Light Belt	7	8	10	oran	oran						5	5000	2	hp%		5	10	mana		5	10																													vit		10	10																																						0
Berserker's Howl	152	Talonrage's Fury		ba4	Assault Helmet	7	18	18								5	5000	2	bar		1	1	oskill	Terror	1	1																																					skilltab	12	1	1																														0
Chaos Heart	153	Talonrage's Fury		fld	Field Plate	7	20	22	dred	dred						5	5000	2	ac%		90	120	sock		2	2																													hp		40	40													red-dmg%		10	10																						0
Warlord's Pike	154	Talonrage's Fury		pik	Pike	7	20	20	dblu	dblu						5	5000	2	dmg%		110	140	rep-dur	5																															swing2		30	30																																						0
Shattering Fist	155	Talonrage's Fury		hgl	Gauntlets	7	20	21	oran	oran						5	5000	2	ac		20	30	crush		10	10																																					str		20	20																														0
Greyhawk's Wing	156	Greyhawk's Mantle		plt	Plate Mail	7	17	19								5	5000	2	ac		75	100	res-ltng		15	20																																													regen		3	3																						0
Greyhawk's Icebrand	157	Greyhawk's Mantle		scp	Scepter	7	17	14								5	5000	2	dmg%		80	120	dmg-cold	100	10	20																																					gethit-skill	Frozen Armor	15	3																														0
Greyhawk's Deflector	158	Greyhawk's Mantle		pa3	Heraldic Shield	7	17	15								5	5000	2	sock		1	4	block		15	15																																					block3		25	25																														0
Greyhawk's Viser	159	Greyhawk's Mantle		fhl	Full Helm	7	17	13								5	5000	2	ac		20	30	manasteal		3	5																																					hp		20	20																														0
Dragon's Flank	160	Silent Runnings		bsh	Bone Shield	7	14	18	dblu	dblu						5	5000	2	ac%		65	90	red-dmg%		5	10																													block		20	20																																						0
Ferrit's Paw	161	Silent Runnings		vgl	Heavy Gloves	7	12	14	whit	whit						5	5000	2	swing2		20	20	lifesteal		4	6																																					mag%		25	25																														0
Turtle's Shell	162	Silent Runnings		ful	Full Plate Mail	7	22	23	dgrn	dgrn						5	5000	2	ac%		90	130	balance2		20	20																																					red-dmg%		8	8																														0
Wolf Pelt	163	Silent Runnings		tbl	Heavy Belt	7	14	14	dgld	dgld						5	5000	2	hp		35	50	res-all		10	15																																					ac		20	20																														0
Beast Collar	164	Silent Runnings		bhm	Bone Helm	7	15	15								5	5000	2	dmg%		20	30	dmg-mag		20	30																																																																						0
Jeweled Circlet	165	Snowmane's Jewelry		ci0	Circlet	7	22	22								5	5000	2	str		15	15	vit		15	15																													hp		20	20					balance1		15	15																														0
Jeweled Belt	166	Snowmane's Jewelry		hbl	Plated Belt	7	22	22								5	5000	2	ac%		100	125	res-all		10	15																																													red-dmg%		10	10																						0
Ruby Ring	167	Snowmane's Jewelry		rin	Ring	4	22	22								5	5000	2	res-all		10	15	red-mag		6	8																																					hp		30	30					mag%		15	15																						0
Diamond Necklace	168	Snowmane's Jewelry		amu	Amulet	4	22	22								5	5000	2	res-all		15	20	mag%		20	30																																					allskills		1	1																														0
Winter's Heart	169	Four Seasons		aar	Ancient Armor	7	20	25	whit	whit						5	5000	2	pierce-cold		10	15	extra-cold		10	15																													abs-cold%		10	10					res-cold-max		10	10					nofreeze		1	1																						0
Spring Dawning	170	Four Seasons		ghm	Great Helm	7	20	22	cblu	cblu						5	5000	2	pierce-ltng		10	15	extra-ltng		10	15																													abs-ltng%		10	10					res-ltng-max		10	10																														0
Summer Flame	171	Four Seasons		hbt	Greaves	7	20	21	dred	dred						5	5000	2	pierce-fire		10	15	extra-fire		10	15																													abs-fire%		10	10					res-fire-max		10	10																														0
Autumn's Decay	172	Four Seasons		tgl	Light Gauntlets	7	20	19	oran	oran						5	5000	2	pierce-pois		10	15	extra-pois		10	15																													res-mag		10	10					res-pois-max		10	10					res-pois-len		75	75																						0
Fernandez' Plate	173	Forgotten Treasures		brs	Breast Plate	7	15	15								5	5000	2	ac%		75	120	sock		3	3																																																	res-mag		10	10									red-dmg%		15	15						0
Katriana's Mask	174	Forgotten Treasures		msk	Mask	7	15	15								5	5000	2	ac%		60	100	sock		3	3																													mana		30	30																					regen-mana		50	50														0
Luther's Cord	175	Forgotten Treasures		tbl	Heavy Belt	7	10	10								5	5000	2	ac		20	30	regen		2	5																																					hp		50	50					manasteal		5	5																						0
Janis' Gloves	176	Forgotten Treasures		vgl	Heavy Gloves	7	10	10								5	5000	2	ac		20	30	swing2		20	20																																																	lifesteal		5	5									str		10	10						0
Xavier's Greaves	177	Forgotten Treasures		tbt	Light Plate Greaves	7	15	15								5	5000	2	ac%		80	110	move2		30	30																																					balance2		20	20													dex		10	10														0
Quincy's Shield	178	Forgotten Treasures		spk	Spike Shield	7	10	10								5	5000	2	ac%		100	135	sock		3	3																													block2		25	25													block		20	20																						0
Power of Brother Laz	179	Insight of Brother Laz		xtg	Battle Gauntlets	7	30	33								5	5000	2	swing1		10	10	manasteal		4	6	res-fire		15	20	ac%		80	100																													str		15	15																														0
Prayer of Brother Laz	180	Insight of Brother Laz		pa8	Protector Shield	7	30	38								5	5000	2	block		20	30	block2		20	20	balance2		20	20	ac/lvl	8																																															gethit-skill	Frozen Orb	7	1														0
Brother Laz' Holy Symbol	181	Insight of Brother Laz		amu	Amulet	5	30	40								5	5000	2	pal		1	1	hp		25	50	res-ltng		25	50	res-pois-len		60	80																					mana		25	25					gethit-skill	Mind Blast	9	2																														0
Wrath of Brother Laz	182	Insight of Brother Laz		9sc	Rune Scepter	7	30	29								5	5000	2	dmg%		160	190	dmg-norm		20	40	pal		1	1	ignore-ac		1	1																													hit-skill	Fire Wall	12	1					dmg/lvl	8																								0
Brother Laz' Faith	183	Insight of Brother Laz		xld	Sharktooth Armor	7	30	36								5	5000	2	ac%		100	200	red-dmg%		15	15	res-mag		15	20	regen-mana		50	50																																					gethit-skill	War Cry	6	2					regen		3	3														0
Aragorn's Contempt	184	Aragorn's Scorn		xui	Ghost Armor	7	30	33	oran	oran						5	5000	2	ac%		100	120	res-fire		25	35	red-dmg		15	25	res-mag		10	10																																																														0
Aragorn's Derision	185	Aragorn's Scorn		9wa	Naga	7	30	40								5	5000	2	dmg%		120	200	dmg-fire		150	250	pierce-fire		15	20																									heal-kill		8	12													dmg-norm		45	135																						0
Aragorn's Indignation	186	Aragorn's Scorn		uml	Luna	7	60	62	dgrn	dgrn						5	5000	2	ac/lvl	16			block		20	30	block2		20	20	noheal		1	1	res-cold		25	35																																																										0
Aragorn's Disdain	187	Aragorn's Scorn		xhb	War Boots	7	30	43	oran	oran						5	5000	2	ac%		100	125	move2		20	20	kick		8	15	manasteal		3	6																													dex		25	25																														0
Winter's Embrace	188	Bogrot's Magic		xea	Serpentskin	7	30	34	dblu	dblu						5	5000	2	allskills		1	1	nofreeze		1	1	ac		250	350	pierce-cold		10	20																																																														0
Baptism by Fire	189	Bogrot's Magic		9ma	Flanged Mace	7	30	31	dred	dred						5	5000	2	allskills		2	2	cast2		20	20	mana		35	50	aura	102	3	5																													regen-mana		50	50																														0
Between Fire and Ice	190	Bogrot's Magic		urg	Hyperion	7	48	48								5	5000	2	allskills		1	1	mag%		40	75	block3		35	35	balance3		30	30	str		15	25																																																										0
Call of Gylandra	191	Cedric's Jinx		xla	Demonhide Armor	7	30	36								5	5000	2	ac%		120	200	red-dmg%		15	25	res-all		15	25	addxp		10	15																													ac/lvl	40																																0
Return to Hydrakal	192	Cedric's Jinx		7wh	Legendary Mallet	7	60	75								5	5000	2	dmg%		175	225	swing3		60	60	sock		2	2																									manasteal		6	6					lifesteal		6	6																														0
Neprida's Kiss	193	Cedric's Jinx		xrg	Scutum	7	30	43								5	5000	2	ac/lvl	13			block		10	20	ignore-ac		1	1	dmg%		35	50																																																														0
Warder's Vest	194	Dragon Reborn		xtu	Trellised Armor	7	30	41								5	5000	2	mag%		25	30	gold%		75	75	ac%		160	200																									heal-kill		10	10													mana-kill		3	3																						0
Heron-Branded Blade	195	Dragon Reborn		9cr	Demensional Blade	7	30	44								5	5000	2	dmg-min		35	50	dmg-max		100	140	hit-skill	Weaken	4	20	dmg-demon		200	200	abs-fire		10	15	abs-cold		10	15																																																						0
Ter'Angreal Ring	196	Dragon Reborn		rin	Ring	3	60	67								5	5000	2	swing1		5	5	cast1		10	10	all-stats		8	15	allskills		1	1																																													hp		40	40														0
Ser'Angreal Necklace	197	Dragon Reborn		amu	Amulet	3	60	67								5	5000	2	balance1		10	10	block		5	10	addxp		10	15																																																	gethit-skill	Decrepify	35	1					allskills		1	1						0
Taint of Saidin	198	Dragon Reborn		uuc	Heater	7	60	67								5	5000	2	ac%		130	150	regen		5	8	block		10	25	block2		20	20	balance2		20	20																																																										0
Aviendha's Gift	199	Dragon Reborn		vbt	Heavy Boots	7	10	21	dgld	dgld						5	5000	2	ac		25	35	dex		10	10																													mag%		25	25					move2		30	30					res-all		15	15					mana/lvl	5							hp/lvl	8								0
Heroes Stand	200	Soldier's Cairn		xng	Linked Mail	7	30	35		whit						5	5000	2	ac%		130	170	dmg%		50	75	balance3		30	30																																																																		0
Warrior's Heroism	201	Soldier's Cairn		9cm	Dacian Falx	7	30	55	blac	dgry						5	5000	2	dmg%		200	300	swing2		20	20	sock		1	4																									lifesteal		8	8	oskill	Melee Mastery	3	3	dmg-norm		100	150																														0
Martyr's Principle	202	Soldier's Cairn		utg	Crasader Gauntlets	7	60	73	lyel	lyel						5	5000	2	ac		100	160	swing3		25	25	deadly		7	15	addxp		10	10																					allskills		1	1																																						0
Judicial Decree	203	Gweibret's Rule		xcl	Tigulated Mail	7	30	40	dpur	dpur						5	5000	2	ac%		170	210	balance3		30	30	hp/lvl	10			mana/lvl	6																																																																0
Regime of Regulation	204	Gweibret's Rule		7sm	Ataghan	7	60	69	dpur	dpur						5	5000	2	dmg%		240	290	dmg-norm		30	80	swing1		15	15	extra-ltng		25	25	abs-ltng		8	15																																																										0
King's Prescript	205	Gweibret's Rule		xit	Dragon Shield	7	30	46	dpur	dpur						5	5000	2	ac%		125	125	red-dmg%		15	15	res-all		15	20	sock		1	1																													block		20	20					block2		20	20																						0
Born Supremacy	206	Gweibret's Rule		umc	Mithril Coil	7	60	70								5	5000	2	ac/lvl	13			hp%		25	25																													cast1		10	10					mana		30	30					regen-mana		50	50																						0
Dominion's Thesis	207	Gweibret's Rule		amu	Amulet	3	50	50								5	5000	2	bar		1	2	str		30	40	dmg-min		10	15	swing1		10	10																																																														0
Astral Body	208	Haunted Asylum		xhn	Mesh Armor	7	30	44	cblu	cblu						5	5000	2	ac%		175	225	swing1		15	15	balance1		15	15	block1		15	15	fade		1	1																																	ac		200	200					mag%		50	50														0
Apparition of Malice	209	Haunted Asylum		9ls	Rune Sword	7	30	42								5	5000	2	dmg%		200	250	ac		225	250	extra-cold		10	15	pierce-cold		15	20																																					dmg-norm		25	75																						0
Phantasm of Horror	210	Haunted Asylum		xsh	Grim Shield	7	30	47		lgry						5	5000	2	ac%		75	100	block		40	40	block1		15	15	dmg-demon		100	100																																													res-all		25	25														0
Haunted Wisdom	211	Haunted Asylum		uhl	Giant Conch	7	60	65								5	5000	2	ac/lvl	14			ac%		75	100	allskills		1	1	cast3		30	30	regen-mana		75	75	mag%		20	50																																																						0
Revenant's Claw	212	Haunted Asylum		utg	Crusader Gauntlets	7	60	72								5	5000	2	ac%		180	220	skilltab	12	1	3	hp		30	50	lifesteal		5	5																																																														0
Alyssa's Essence	213	Alyssa's Archery		xpl	Russet Armor	7	30	47	lgrn	lgrn						5	5000	2	ac%		135	180	knock		3	3	manasteal		4	8	lifesteal		8	8																																																														0
Alyssa's Leafblighter	214	Alyssa's Archery		8l8	Long Siege Bow	7	30	44	whit	whit						5	5000	2	dmg%		180	220	swing2		20	20	sock		3	3																									dmg/lvl	16							dmg-min		50	50																														0
Alyssa's Sandals	215	Alyssa's Archery		ulb	Wyrmhide Boots	7	60	60	lgrn	lgrn						5	5000	2	ac%		160	200	dmg-norm		5	10	dmg%		20	30	str		15	15																													move3		30	30																														0
Unholy Vows	216	Forbidden Lore		xlt	Templar Coat	7	30	46	lgry	dgry						5	5000	2	ac%		150	190	hp		75	100	regen		20	30	regen-mana		100	150																																																														0
Vampirebone Dagger	217	Forbidden Lore		7dg	Bone Knife	7	60	63		lgry						5	5000	2	dmg%		220	250	swing2		20	20	extra-pois		10	20	pierce-pois		10	20	cast2		20	20	nec		1	2																																																						0
Wall of Modius	218	Forbidden Lore		bsh	Bone Shield	7	12	16		blac						5	5000	2	aura	103	7	10	dmg-to-mana		15	15																													block		22	22					dex		15	15					mag%		25	25																						0
Death's Door	219	Forbidden Lore		zvb	Sharkskin Belt	7	30	32		dgry						5	5000	2	ac%		120	130	mana		55	75	mana-kill		2	4	addxp		10	10																																																														0
Hannibal's Shattered Plate	220	Hannibal's Demise		xld	Sharktooth Armor	7	30	48								5	5000	2	ac%		130	160	ac/lvl	24			red-dmg%		15	15	openwounds		35	50	pierce		50	50																																																										0
Hannibal's Final Flight	221	Hannibal's Demise		7bk	Winged Knife	7	60	62								5	5000	2	dmg%		200	300	swing2		20	20	slow		75	75	reduce-ac		20	30	nofreeze		1	1																	mag%		100	100					dmg-throw		25	75																														0
Hannibal's Blurred Vision	222	Hannibal's Demise		xhl	Basinet	7	30	38								5	5000	2	ac%		170	200	all-stats		10	20	addxp		10	10	res-fire		25	35																													res-ltng		30	30																														0
Hannibal's Bending Knee	223	Hannibal's Demise		xtb	Battle Boots	7	30	45								5	5000	2	ac%		100	120	dex		15	15	gold%		300	300																									move2		20	20					att		100	100																														0
Great White Terror	224	Terror of the Deep		uld	Kraken Shell	7	60	74	whit	dgry						5	5000	2	red-dmg%		25	25	red-dmg		35	50	res-ltng		-50	-50	res-fire		75	75	move3		20	20																																																										0
Feeding Frenzy	225	Terror of the Deep		7wc	Great Thresher	7	60	77	dred	dred						5	5000	2	dmg%		220	290	ease		-25	-25	lifesteal		6	6	manasteal		6	6	bar		3	3																									dmg-norm		50	250					swing3		45	45																						0
Mako's Quickness	226	Terror of the Deep		zvb	Sharkskin Belt	7	30	39	lblu							5	5000	2	ac%		130	160	move1		15	15	balance1		15	15	dex		25	25	oskill	avoid	4	8																																																										0
Hammerhead's Persistence	227	Terror of the Deep		xvb	Sharkskin Boots	7	30	44	lgry							5	5000	2	ac%		100	100	red-dmg%		10	10	crush		15	25	hp		60	90																																																														0
Angels	228	Celestial Hierarchy		uth	Lacquered Plate	7	60	81								5	5000	2	cast2		20	20	block2		20	25	balance2		20	20	mag%/lvl	12			sock		1	2	swing2		20	20																																																						0
Principality	229	Celestial Hierarchy		9b9	Gothic Sword	7	30	45								5	5000	2	dmg%		260	300	deadly		15	15	crush		15	15	regen		-1	-5	swing2		20	20	oskill_hide	393	1	1													dmg-mag		100	200					dmg-cold		100	200					dmg-fire		100	200					dmg-ltng		64	200					dmg-max		250	250						0
Virtue	230	Celestial Hierarchy		zlb	Demonhide Sash	7	30	36								5	5000	2	ac%		80	110	hp		35	50	mana-kill		7	7	regen		6	6																													regen-mana		50	50					res-all		10	10					mag%		35	35														0
Dominion	231	Celestial Hierarchy		utb	Mirrored Boots	7	60	70								5	5000	2	ac%		180	210	ease		-20	-20	move3		50	50	dex		-20	-20	balance2		-20	-20																																									str		35	35														0
Cherubim	232	Celestial Hierarchy		ulm	Armet	7	60	61								5	5000	2	allskills		1	1	ac		150	200	mana		30	30	res-pois		25	25	enr/lvl	6																																																												0
Seraphim	233	Celestial Hierarchy		rin	Ring	5	49	49								5	5000	2	allskills		1	1	dmg%		25	25	heal-kill		10	10	addxp		4	6	cheap		5	10																																																										0
Mephisto's Misty Aura	234	Lords of Hell		uul	Shadow Plate	7	60	80								5	5000	2	gethit-skill	Cloak of Shadows	20	8	light		-4	-4	ac%		140	160	aura	109	1	1																																																														0
Diablo's Soulstone Ring	235	Lords of Hell		rin	Ring	3	77	77								5	5000	2	allskills		1	1	hp		50	50	mana		50	50	red-dmg%		10	10	red-mag		20	25																																	mag%		50	50																						0
Baal's Cryptic Amulet	236	Lords of Hell		amu	Amulet	3	74	74								5	5000	2	allskills		2	2	mag%		35	50	regen		25	25	regen-mana		50	75																																																														0
Heaven's Lances	237	Lords of Hell		9ts	Harpoon	7	30	51								5	5000	2	dmg%		190	240	stack		75	75	rep-quant	20			knock		2	2	rep-quant	100			oskill_hide	393	1	1													swing2		25	25					oskill	lightning fury	8	8																														0
Demonic Chuckle	238	Corruption Coils		rin	Ring	1	45	45								5	5000	2	hp		35	50	mana		25	25																													mag%		50	50					extra-fire		40	40																														0
Evil Humor	239	Corruption Coils		rin	Ring	1	45	45								5	5000	2	hp		35	50	mana		25	25																													gold%		100	100					extra-ltng		40	40																														0
Temptation's Death	240	Corruption Coils		amu	Amulet	1	45	45								5	5000	2	hp		50	75	mana		40	40																													gethit-skill	Taunt	10	20					extra-cold		40	40																														0
Maadi's Silence	241	Maadi's Paradox		uvg	Vampirebone gloves	7	47	47								5	5000	2	red-mag		10	15	red-dmg		10	15	hp		50	50	ac		50	100																					enr		30	30					skill	Bone Spear	5	5																														0
Maadi's Vision	242	Maadi's Paradox		uh9	Bone Visage	7	63	63								5	5000	2	ac%		150	200	vit		25	25	balance2		20	30	res-all		10	10	mag%		30	50																	move3		15	20					cast2		15	15																														0
Maadi's Spirit	243	Maadi's Paradox		uhn	Boneweave	7	47	47								5	5000	2	ac%		150	200	vit		25	25	enr		25	25	mana%		10	15	ac		100	200																	vit		50	50					enr		50	50					abs-mag%		10	10					red-mag		10	10														0
Maadi's Torch	244	Maadi's Paradox		7gw	Unearthed Wand	7	64	64								5	5000	2	allskills		1	2	extra_bonespears		1	1	cast2		30	30	mag%		10	30	oskill_hide	393	1	1																	cast2		25	25					res-all		20	20																														0
Maadi's Soul	245	Maadi's Paradox		ned	Overseer Skull	7	49	49								5	5000	2	allskills		1	2	cast2		20	30	res-all		20	20	block		20	35	block2		20	35	ac%		150	200	oskill_hide	393	1	1																																	extra_bonespears		1	1														0
The Raven's Talons	246	The Raven's Nest		lgl	Leather Gloves	7	5	10		blac						5	5000	2	cast2		5	10	res-all		5	10	all-stats		5	10																									res-cold		30	30													cast2		15	15																						0
The Raven's Feet	247	The Raven's Nest		mbt	Chain Boots	7	5	10		blac						5	5000	2	ac		100	100	res-all		10	10	move2		10	10	mag%		10	25																					move2		30	30					res-all		20	20																														0
The Raven's Wing	248	The Raven's Nest		xpk	Barbed Shield	7	35	45		blac						5	5000	2	ac%		100	100	block		20	30	block2		20	30	cast2		20	30	move2		20	20	res-all		20	30	oskill_hide	393	1	1									abs-cold		15	15					allskills		2	2					res-cold-max		2	2																						0
The Raven's Beak	249	The Raven's Nest		9bl	Stilleto	7	35	45		blac						5	5000	2	allskills		1	1	cast2		20	30	balance3		15	30	swing2		15	30	ignore-ac		1	1	stupidity		1	1	oskill_hide	393	1	1	ravenhits		1	2					cast2		10	10													ravenhits		2	2																						0
The Raven's Feathers	250	The Raven's Nest		uea	Wyrmhide	7	60	60		blac						5	5000	2	ac%		100	125	ac-miss		300	500	move2		20	20	res-cold		30	30	oskill	warmth	2	5	red-dmg		10	15	red-mag		10	15									abs-cold%		10	10					nofreeze		1	1					res-cold-max		3	3																						0
Hand of the Vindicator	251	Tools of Vindication		whm	War Hammer	7	12	20								5	5000	2	flat-dmg/lvl	8			swing1		20	20	skill	Vengeance	3	3	oskill_hide	393	1	1																					swing1		40	40																																						0
Bulwark of the Vindicator	252	Tools of Vindication		pa9	Gilded Shield	7	59	60								5	5000	2	res-all		35	35	balance1		40	40	block1		55	55	aura	114	12	12	oskill_hide	393	1	1																	res-cold		30	30					red-dmg%		15	15	flat-dmg/lvl	8																												0
Belt of the Vindicator	253	Tools of Vindication		zmb	Mesh Belt	7	40	40								5	5000	2	res-fire		20	20	res-ltng		20	20	res-cold		20	20	mag%		30	30																					res-fire		30	30	flat-dmg/lvl	8			res-ltng		30	30																														0
Panda's Pelt	254	Panda's Polar Adventure		dr6	Alpha Helm	7	30	55	bwht	bwht						5	5000	2	nofreeze		1	1	oskill	Polar Bear	2	4	move3		30	30	balance2		30	30	allskills		2	3																																																										0
Panda's Mitts	255	Panda's Polar Adventure		ulg	Bramble Mitts	7	25	45	bwht	bwht						5	5000	2	oskill	Polar Claws	2	5	lifesteal		5	5	swing3		30	30	res-fire		15	15	freeze		1	1																																																										0
Panda's Coat	256	Panda's Polar Adventure		uui	Dusk Shroud	7	70	80	bwht	bwht						5	5000	2	oskill	warmth	1	1	cast3		15	15	res-cold-max		10	10	allskills		2	3	res-cold		50	50																																																										0
Panda's Sash	257	Panda's Polar Adventure		lbl	Sash	7	6	12	bwht	bwht						5	5000	2	res-all		10	10	vit		10	10	hp		100	100	gethit-skill	Tornado	20	20																																																														0
Panda's Sled	258	Panda's Polar Adventure		uow	Aegis	7	50	60	blac	blac						5	5000	2	ease		-30	-30	res-all		25	25	oskill	Summon Spirit Wolf	5	8	block		15	15	oskill_hide	393	1	1																																																										0
