description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Ground	1				100					4	"armo,set"	r13	r16	r09				useitem	100			hp%			5	5	ac%			75	100	res-ltng			10	30	abs-ltng%			10	15																																																																0
Temper	1				100					4	"armo,set"	r13	r16	r08				useitem	100			hp%			5	5	ac%			75	100	res-fire			10	30	abs-fire%			10	15																																																																0
Hearth	1				100					4	"armo,set"	r13	r16	r10				useitem	100			hp%			5	5	ac%			75	100	res-cold			10	30	abs-cold%			10	15	nofreeze			1	1																																																											0
Cure	1				100					4	"armo,set"	r13	r16	r07				useitem	100			hp%			5	5	ac%			75	100	res-pois			10	30	res-pois-len			50	50	aura		Cleansing	1	1																																																											0
Bulwark	1				100					4	"armo,set"	r13	r16	r12				useitem	100			hp%			5	5	ac%			75	100	red-dmg%			10	15	regen			30	30	lifesteal			4	6																																																											0
Flickering Flame	1				100					4	"armo,uni"	r04	r21	r26				useitem	100			fireskill			3	3	aura		Resist Fire	4	8	pierce-fire			10	15	mana			50	75	half-freeze			1	1																																																											0
Mist	1				100					6	"weap,uni"	r32	r13	r25	r10	r06		useitem	100			allskills			3	3	dmg%			325	375	aura		Concentration	8	12	pierce			100	100	res-all			40	40																																																											0
Obsession	1				100					7	"weap,uni"	r33	r24	r20	r17	r16	r04	useitem	100			allskills			4	4	gethit-skill		Weaken	24	10	cast3			65	65	balance3			60	60	res-all			60	70																																																											0
Pattern	1				100					4	"weap,uni"	r07	r09	r10				useitem	100			att%			10	10	dmg%			40	80	dmg-fire			12	32	res-all			15	15	str			6	6																																																											0
Plague	1				100					4	"weap,uni"	r32	r13	r22				useitem	100			dmg%			220	320	gethit-skill		Lower Resist	20	12	aura		Cleansing	13	17	pierce-pois			23	23	deadly/lvl		3																																																													0
Unbending Will	1				100					7	"weap,uni"	r19	r16	r06	r02	r01	r15	useitem	100			skilltab		12	3	3	hit-skill		Taunt	18	18	swing2			20	30	dmg%			300	350	lifesteal			8	10																																																											0
Wisdom	1				100					4	"armo,uni"	r21	r06	r02				useitem	100			pierce			33	33	manasteal			4	8	att%			15	25	mana-kill			5	5	nofreeze			1	1																																																											0
Hustle (armor)	1				100					4	"armo,uni"	r13	r18	r02				useitem	100			move2			65	65	stamdrain			35	35	swing2			40	40	res-all			10	10	oskill		Evade	6	6																																																											0
Hustle (weapon)	1				100					4	"weap,uni"	r13	r18	r02				useitem	100			hit-skill		Quickness	5	1	swing2			10	10	dmg%			180	200	aura		Fanaticism	1	1																																																																0
Mosaic	1				100					4	"weap,uni"	r23	r25	r11				useitem	100			skilltab		20	2	2	charge-noconsume			50	50	swing2			20	20	dmg%			200	250	extra-fire			8	15																																																											0
Metamorphosis	1				100					4	"armo,uni"	r16	r32	r19				useitem	100			hit-skill		Mark of the Bear	100	1	hit-skill		Mark of the Wolf	100	1	skilltab		16	5	5	ac%			50	80	crush			25	25																																																											0
Ground	1				100					4	"armo,uni"	r13	r16	r09				useitem	100			hp%			5	5	ac%			75	100	res-ltng			10	30	abs-ltng%			10	15																																																																0
Temper	1				100					4	"armo,uni"	r13	r16	r08				useitem	100			hp%			5	5	ac%			75	100	res-fire			10	30	abs-fire%			10	15																																																																0
Hearth	1				100					4	"armo,uni"	r13	r16	r10				useitem	100			hp%			5	5	ac%			75	100	res-cold			10	30	abs-cold%			10	15	nofreeze			1	1																																																											0
Cure	1				100					4	"armo,uni"	r13	r16	r07				useitem	100			hp%			5	5	ac%			75	100	res-pois			10	30	res-pois-len			50	50	aura		Cleansing	1	1																																																											0
Bulwark	1				100					4	"armo,uni"	r13	r16	r12				useitem	100			hp%			5	5	ac%			75	100	red-dmg%			10	15	regen			30	30	lifesteal			4	6																																																											0
ExtraGold	1				100					2	any,nor	s60						useitem				gold%			10	10	levelreq			5	5																																																																										0
MagicFind	1				100					2	any,nor	s71						useitem				mag%			10	10	levelreq			5	5																																																																										0
ReduceRequirments	1				100					2	any,nor	s95						useitem				ease			-10	-10	levelreq			5	5																																																																										0
Indestructable	1				100					2	any,nor	s97						useitem				indestruct			1	1	levelreq			5	5																																																																										0
MinFireDam	1				100					2	any,nor	s61						useitem				fire-min			10	10	levelreq			5	5																																																																										0
MaxFireDam	1				100					2	any,nor	s62						useitem				fire-max			10	10	levelreq			5	5																																																																										0
MinColdDam	1				100					2	any,nor	s63						useitem				cold-min			10	10	cold-len			1	1																																																																										0
MaxColdDamn	1				100					2	any,nor	s64						useitem				cold-max			10	10	levelreq			5	5																																																																										0
MinLightningDam	1				100					2	any,nor	s65						useitem				ltng-min			10	10	levelreq			5	5																																																																										0
MaxLightningDam	1				100					2	any,nor	s66						useitem				ltng-max			10	10	levelreq			5	5																																																																										0
MinPoisonDam	1				100					2	any,nor	s67						useitem				pois-min			10	10	pois-len			25	25																																																																										0
MaxPoisonDam	1				100					2	any,nor	s68						useitem				pois-max			10	10	pois-len			25	25																																																																										0
MinDam	1				100					2	any,nor	s69						useitem				dmg-min			10	10	levelreq			5	5																																																																										0
MaxDam	1				100					2	any,nor	s70						useitem				dmg-max			10	10	levelreq			5	5																																																																										0
Exp%	1				100					2	any,nor	s72						useitem				addxp			10	10	levelreq			5	5																																																																										0
AttRating	1				100					2	any,nor	s73						useitem				att			20	20	levelreq			5	5																																																																										0
Enhanced Damage	1				100					2	any,nor	s74						useitem				dmg%			15	15	levelreq			5	5																																																																										0
AttackSpeed	1				100					2	any,nor	s75						useitem				swing1			10	10	levelreq			5	5																																																																										0
Att Rating %	1				100					2	any,nor	s76						useitem				att%			10	10	levelreq			5	5																																																																										0
Cast Speed	1				100					2	any,nor	s77						useitem				cast1			10	10	levelreq			5	5																																																																										0
Life Steal	1				100					2	any,nor	s93						useitem				lifesteal			2	2	levelreq			5	5																																																																										0
Mana Steal	1				100					2	any,nor	s94						useitem				manasteal			2	2	levelreq			5	5																																																																										0
FreezeTarget	1				100					2	any,nor	s78						useitem				freeze			5	5	levelreq			5	5																																																																										0
ChanceOpenWounds	1				100					2	any,nor	s79						useitem				openwounds			10	10	levelreq			5	5																																																																										0
ChanceCrushingBlow	1				100					2	any,nor	s80						useitem				crush			10	10	levelreq			5	5																																																																										0
ChanceDeadlyStrike	1				100					2	any,nor	s81						useitem				deadly			10	10	levelreq			5	5																																																																										0
ChanceSlowTarget	1				100					2	any,nor	s82						useitem				slow			10	10	levelreq			5	5																																																																										0
Defence	1				100					2	any,nor	s83						useitem				ac			10	10	levelreq			5	5																																																																										0
EnhDef	1				100					2	any,nor	s84						useitem				ac%			10	10	levelreq			5	5																																																																										0
DefvMissiles	1				100					2	any,nor	s85						useitem				ac-miss			15	15	levelreq			5	5																																																																										0
DefvMelee	1				100					2	any,nor	s86						useitem				ac-hth			10	10	levelreq			5	5																																																																										0
DamRed#	1				100					2	any,nor	s87						useitem				red-dmg			5	5	levelreq			5	5																																																																										0
DamRed%	1				100					2	any,nor	s88						useitem				red-dmg%			10	10	levelreq			5	5																																																																										0
MagicDamageReduced	1				100					2	any,nor	s89						useitem				red-mag			5	5	levelreq			5	5																																																																										0
FireResistance	1				100					2	any,nor	s90						useitem				res-fire			10	10	levelreq			5	5																																																																										0
FireResistanceMax	1				100					2	any,nor	s91						useitem				res-fire-max			5	5	levelreq			5	5																																																																										0
ColdResistance	1				100					2	any,nor	s92						useitem				res-cold			10	10	levelreq			5	5																																																																										0
ColdResistanceMax	1				100					2	any,nor	s34						useitem				res-cold-max			5	5	levelreq			5	5																																																																										0
LightningResistance	1				100					2	any,nor	s35						useitem				res-ltng			10	10	levelreq			5	5																																																																										0
LightningResistanceMax	1				100					2	any,nor	s36						useitem				res-ltng-max			5	5	levelreq			5	5																																																																										0
MagicResistance	1				100					2	any,nor	s37						useitem				res-mag			10	10	levelreq			5	5																																																																										0
MagicResistanceMax	1				100					2	any,nor	s38						useitem				res-mag-max			5	5	levelreq			5	5																																																																										0
PoisonResistance	1				100					2	any,nor	s39						useitem				res-pois			10	10	levelreq			5	5																																																																										0
PoisonResistanceMax	1				100					2	any,nor	s40						useitem				res-pois-max			5	5	levelreq			5	5																																																																										0
AllResistances	1				100					2	any,nor	s41						useitem				res-all			10	10	levelreq			5	5																																																																										0
AllResistancesMax	1				100					2	any,nor	s42						useitem				res-all-max			5	5	levelreq			5	5																																																																										0
Str	1				100					2	any,nor	s43						useitem				str			10	10	levelreq			5	5																																																																										0
Dex	1				100					2	any,nor	s44						useitem				dex			10	10	levelreq			5	5																																																																										0
Vit	1				100					2	any,nor	s45						useitem				vit			10	10	levelreq			5	5																																																																										0
Energy	1				100					2	any,nor	s46						useitem				enr			10	10	levelreq			5	5																																																																										0
All Attributes	1				100					2	any,nor	s51						useitem				all-stats			5	5	levelreq			5	5																																																																										0
Life	1				100					2	any,nor	s47						useitem				hp			10	10	levelreq			5	5																																																																										0
Life %	1				100					2	any,nor	s48						useitem				hp%			6	6	levelreq			5	5																																																																										0
Mana	1				100					2	any,nor	s49						useitem				mana			10	10	levelreq			5	5																																																																										0
Mana %	1				100					2	any,nor	s50						useitem				mana%			5	5	levelreq			5	5																																																																										0
Faster Run Walk	1				100					2	any,nor	s52						useitem				move1			10	10	levelreq			5	5																																																																										0
Hit Recovery	1				100					2	any,nor	s53						useitem				balance1			10	10	levelreq			5	5																																																																										0
Faster Block Rate	1				100					2	any,nor	s54						useitem				block1			10	10	levelreq			5	5																																																																										0
Cannot be Frozen	1				100					2	any,nor	s56						useitem				nofreeze			1	1	levelreq			5	5																																																																										0
Replenish Life	1				100					2	any,nor	s57						useitem				regen			5	5	levelreq			5	5																																																																										0
Mana Regen	1				100					2	any,nor	s58						useitem				regen-mana			10	10	levelreq			5	5																																																																										0
All Skills	1				100					2	any,nor	s59						useitem				allskills			1	1	levelreq			5	5																																																																										0
LightRadiusInc	1				100					2	any,nor	v50						useitem				light			3	3	levelreq			5	5																																																																										0
ReducePoisonLength	1				100					2	any,nor	v52						useitem				res-pois-len			10	10	levelreq			5	5																																																																										0
ThornDamage	1				100					2	any,nor	v53						useitem				thorns			5	5	levelreq			5	5																																																																										0
FireSkillDam	1				100					2	any,nor	v54						useitem				extra-fire			10	10	levelreq			5	5																																																																										0
LighSkillDam	1				100					2	any,nor	v55						useitem				extra-ltng			10	10	levelreq			5	5																																																																										0
ColdSkillDam	1				100					2	any,nor	v56						useitem				extra-cold			10	10	levelreq			5	5																																																																										0
PoisSkillDam	1				100					2	any,nor	v57						useitem				extra-pois			10	10	levelreq			5	5																																																																										0
ReducePrices	1				100					2	any,nor	zz8						useitem				cheap			5	5	levelreq			5	5																																																																										0
Sore Random	1				100					2	any,nor	zz9						useitem				dmg			99	99	ac			50	50																																																																										0
ExtraGold	1				100					2	any,hiq	s60						useitem				gold%			10	10	levelreq			5	5																																																																										0
MagicFind	1				100					2	any,hiq	s71						useitem				mag%			10	10	levelreq			5	5																																																																										0
ReduceRequirments	1				100					2	any,hiq	s95						useitem				ease			-10	-10	levelreq			5	5																																																																										0
Indestructable	1				100					2	any,hiq	s97						useitem				indestruct			1	1	levelreq			5	5																																																																										0
MinFireDam	1				100					2	any,hiq	s61						useitem				fire-min			10	10	levelreq			5	5																																																																										0
MaxFireDam	1				100					2	any,hiq	s62						useitem				fire-max			10	10	levelreq			5	5																																																																										0
MinColdDam	1				100					2	any,hiq	s63						useitem				cold-min			10	10	cold-len			1	1																																																																										0
MaxColdDamn	1				100					2	any,hiq	s64						useitem				cold-max			10	10	levelreq			5	5																																																																										0
MinLightningDam	1				100					2	any,hiq	s65						useitem				ltng-min			10	10	levelreq			5	5																																																																										0
MaxLightningDam	1				100					2	any,hiq	s66						useitem				ltng-max			10	10	levelreq			5	5																																																																										0
MinPoisonDam	1				100					2	any,hiq	s67						useitem				pois-min			10	10	pois-len			25	25																																																																										0
MaxPoisonDam	1				100					2	any,hiq	s68						useitem				pois-max			10	10	pois-len			25	25																																																																										0
MinDam	1				100					2	any,hiq	s69						useitem				dmg-min			10	10	levelreq			5	5																																																																										0
MaxDam	1				100					2	any,hiq	s70						useitem				dmg-max			10	10	levelreq			5	5																																																																										0
Exp%	1				100					2	any,hiq	s72						useitem				addxp			10	10	levelreq			5	5																																																																										0
AttRating	1				100					2	any,hiq	s73						useitem				att			20	20	levelreq			5	5																																																																										0
Enhanced Damage	1				100					2	any,hiq	s74						useitem				dmg%			15	15	levelreq			5	5																																																																										0
AttackSpeed	1				100					2	any,hiq	s75						useitem				swing1			10	10	levelreq			5	5																																																																										0
Att Rating %	1				100					2	any,hiq	s76						useitem				att%			10	10	levelreq			5	5																																																																										0
Cast Speed	1				100					2	any,hiq	s77						useitem				cast1			10	10	levelreq			5	5																																																																										0
Life Steal	1				100					2	any,hiq	s93						useitem				lifesteal			2	2	levelreq			5	5																																																																										0
Mana Steal	1				100					2	any,hiq	s94						useitem				manasteal			2	2	levelreq			5	5																																																																										0
FreezeTarget	1				100					2	any,hiq	s78						useitem				freeze			5	5	levelreq			5	5																																																																										0
ChanceOpenWounds	1				100					2	any,hiq	s79						useitem				openwounds			10	10	levelreq			5	5																																																																										0
ChanceCrushingBlow	1				100					2	any,hiq	s80						useitem				crush			10	10	levelreq			5	5																																																																										0
ChanceDeadlyStrike	1				100					2	any,hiq	s81						useitem				deadly			10	10	levelreq			5	5																																																																										0
ChanceSlowTarget	1				100					2	any,hiq	s82						useitem				slow			10	10	levelreq			5	5																																																																										0
Defence	1				100					2	any,hiq	s83						useitem				ac			10	10	levelreq			5	5																																																																										0
EnhDef	1				100					2	any,hiq	s84						useitem				ac%			10	10	levelreq			5	5																																																																										0
DefvMissiles	1				100					2	any,hiq	s85						useitem				ac-miss			15	15	levelreq			5	5																																																																										0
DefvMelee	1				100					2	any,hiq	s86						useitem				ac-hth			10	10	levelreq			5	5																																																																										0
DamRed#	1				100					2	any,hiq	s87						useitem				red-dmg			5	5	levelreq			5	5																																																																										0
DamRed%	1				100					2	any,hiq	s88						useitem				red-dmg%			10	10	levelreq			5	5																																																																										0
MagicDamageReduced	1				100					2	any,hiq	s89						useitem				red-mag			5	5	levelreq			5	5																																																																										0
FireResistance	1				100					2	any,hiq	s90						useitem				res-fire			10	10	levelreq			5	5																																																																										0
FireResistanceMax	1				100					2	any,hiq	s91						useitem				res-fire-max			5	5	levelreq			5	5																																																																										0
ColdResistance	1				100					2	any,hiq	s92						useitem				res-cold			10	10	levelreq			5	5																																																																										0
ColdResistanceMax	1				100					2	any,hiq	s34						useitem				res-cold-max			5	5	levelreq			5	5																																																																										0
LightningResistance	1				100					2	any,hiq	s35						useitem				res-ltng			10	10	levelreq			5	5																																																																										0
LightningResistanceMax	1				100					2	any,hiq	s36						useitem				res-ltng-max			5	5	levelreq			5	5																																																																										0
MagicResistance	1				100					2	any,hiq	s37						useitem				res-mag			10	10	levelreq			5	5																																																																										0
MagicResistanceMax	1				100					2	any,hiq	s38						useitem				res-mag-max			5	5	levelreq			5	5																																																																										0
PoisonResistance	1				100					2	any,hiq	s39						useitem				res-pois			10	10	levelreq			5	5																																																																										0
PoisonResistanceMax	1				100					2	any,hiq	s40						useitem				res-pois-max			5	5	levelreq			5	5																																																																										0
AllResistances	1				100					2	any,hiq	s41						useitem				res-all			10	10	levelreq			5	5																																																																										0
AllResistancesMax	1				100					2	any,hiq	s42						useitem				res-all-max			5	5	levelreq			5	5																																																																										0
Str	1				100					2	any,hiq	s43						useitem				str			10	10	levelreq			5	5																																																																										0
Dex	1				100					2	any,hiq	s44						useitem				dex			10	10	levelreq			5	5																																																																										0
Vit	1				100					2	any,hiq	s45						useitem				vit			10	10	levelreq			5	5																																																																										0
Energy	1				100					2	any,hiq	s46						useitem				enr			10	10	levelreq			5	5																																																																										0
All Attributes	1				100					2	any,hiq	s51						useitem				all-stats			5	5	levelreq			5	5																																																																										0
Life	1				100					2	any,hiq	s47						useitem				hp			10	10	levelreq			5	5																																																																										0
Life %	1				100					2	any,hiq	s48						useitem				hp%			6	6	levelreq			5	5																																																																										0
Mana	1				100					2	any,hiq	s49						useitem				mana			10	10	levelreq			5	5																																																																										0
Mana %	1				100					2	any,hiq	s50						useitem				mana%			5	5	levelreq			5	5																																																																										0
Faster Run Walk	1				100					2	any,hiq	s52						useitem				move1			10	10	levelreq			5	5																																																																										0
Hit Recovery	1				100					2	any,hiq	s53						useitem				balance1			10	10	levelreq			5	5																																																																										0
Faster Block Rate	1				100					2	any,hiq	s54						useitem				block1			10	10	levelreq			5	5																																																																										0
Cannot be Frozen	1				100					2	any,hiq	s56						useitem				nofreeze			1	1	levelreq			5	5																																																																										0
Replenish Life	1				100					2	any,hiq	s57						useitem				regen			5	5	levelreq			5	5																																																																										0
Mana Regen	1				100					2	any,hiq	s58						useitem				regen-mana			10	10	levelreq			5	5																																																																										0
All Skills	1				100					2	any,hiq	s59						useitem				allskills			1	1	levelreq			5	5																																																																										0
LightRadiusInc	1				100					2	any,hiq	v50						useitem				light			3	3	levelreq			5	5																																																																										0
ReducePoisonLength	1				100					2	any,hiq	v52						useitem				res-pois-len			10	10	levelreq			5	5																																																																										0
ThornDamage	1				100					2	any,hiq	v53						useitem				thorns			5	5	levelreq			5	5																																																																										0
FireSkillDam	1				100					2	any,hiq	v54						useitem				extra-fire			10	10	levelreq			5	5																																																																										0
LighSkillDam	1				100					2	any,hiq	v55						useitem				extra-ltng			10	10	levelreq			5	5																																																																										0
ColdSkillDam	1				100					2	any,hiq	v56						useitem				extra-cold			10	10	levelreq			5	5																																																																										0
PoisSkillDam	1				100					2	any,hiq	v57						useitem				extra-pois			10	10	levelreq			5	5																																																																										0
ReducePrices	1				100					2	any,hiq	zz8						useitem				cheap			5	5	levelreq			5	5																																																																										0
Sore Random	1				100					2	any,hiq	zz9						useitem				dmg			99	99	ac			50	50																																																																										0
ExtraGold	1				100					2	any,mag	s60						useitem				gold%			10	10	levelreq			5	5																																																																										0
MagicFind	1				100					2	any,mag	s71						useitem				mag%			10	10	levelreq			5	5																																																																										0
ReduceRequirments	1				100					2	any,mag	s95						useitem				ease			-10	-10	levelreq			5	5																																																																										0
Indestructable	1				100					2	any,mag	s97						useitem				indestruct			1	1	levelreq			5	5																																																																										0
MinFireDam	1				100					2	any,mag	s61						useitem				fire-min			10	10	levelreq			5	5																																																																										0
MaxFireDam	1				100					2	any,mag	s62						useitem				fire-max			10	10	levelreq			5	5																																																																										0
MinColdDam	1				100					2	any,mag	s63						useitem				cold-min			10	10	cold-len			1	1																																																																										0
MaxColdDamn	1				100					2	any,mag	s64						useitem				cold-max			10	10	levelreq			5	5																																																																										0
MinLightningDam	1				100					2	any,mag	s65						useitem				ltng-min			10	10	levelreq			5	5																																																																										0
MaxLightningDam	1				100					2	any,mag	s66						useitem				ltng-max			10	10	levelreq			5	5																																																																										0
MinPoisonDam	1				100					2	any,mag	s67						useitem				pois-min			10	10	pois-len			25	25																																																																										0
MaxPoisonDam	1				100					2	any,mag	s68						useitem				pois-max			10	10	pois-len			25	25																																																																										0
MinDam	1				100					2	any,mag	s69						useitem				dmg-min			10	10	levelreq			5	5																																																																										0
MaxDam	1				100					2	any,mag	s70						useitem				dmg-max			10	10	levelreq			5	5																																																																										0
Exp%	1				100					2	any,mag	s72						useitem				addxp			10	10	levelreq			5	5																																																																										0
AttRating	1				100					2	any,mag	s73						useitem				att			20	20	levelreq			5	5																																																																										0
Enhanced Damage	1				100					2	any,mag	s74						useitem				dmg%			15	15	levelreq			5	5																																																																										0
AttackSpeed	1				100					2	any,mag	s75						useitem				swing1			10	10	levelreq			5	5																																																																										0
Att Rating %	1				100					2	any,mag	s76						useitem				att%			10	10	levelreq			5	5																																																																										0
Cast Speed	1				100					2	any,mag	s77						useitem				cast1			10	10	levelreq			5	5																																																																										0
Life Steal	1				100					2	any,mag	s93						useitem				lifesteal			2	2	levelreq			5	5																																																																										0
Mana Steal	1				100					2	any,mag	s94						useitem				manasteal			2	2	levelreq			5	5																																																																										0
FreezeTarget	1				100					2	any,mag	s78						useitem				freeze			5	5	levelreq			5	5																																																																										0
ChanceOpenWounds	1				100					2	any,mag	s79						useitem				openwounds			10	10	levelreq			5	5																																																																										0
ChanceCrushingBlow	1				100					2	any,mag	s80						useitem				crush			10	10	levelreq			5	5																																																																										0
ChanceDeadlyStrike	1				100					2	any,mag	s81						useitem				deadly			10	10	levelreq			5	5																																																																										0
ChanceSlowTarget	1				100					2	any,mag	s82						useitem				slow			10	10	levelreq			5	5																																																																										0
Defence	1				100					2	any,mag	s83						useitem				ac			10	10	levelreq			5	5																																																																										0
EnhDef	1				100					2	any,mag	s84						useitem				ac%			10	10	levelreq			5	5																																																																										0
DefvMissiles	1				100					2	any,mag	s85						useitem				ac-miss			15	15	levelreq			5	5																																																																										0
DefvMelee	1				100					2	any,mag	s86						useitem				ac-hth			10	10	levelreq			5	5																																																																										0
DamRed#	1				100					2	any,mag	s87						useitem				red-dmg			5	5	levelreq			5	5																																																																										0
DamRed%	1				100					2	any,mag	s88						useitem				red-dmg%			10	10	levelreq			5	5																																																																										0
MagicDamageReduced	1				100					2	any,mag	s89						useitem				red-mag			5	5	levelreq			5	5																																																																										0
FireResistance	1				100					2	any,mag	s90						useitem				res-fire			10	10	levelreq			5	5																																																																										0
FireResistanceMax	1				100					2	any,mag	s91						useitem				res-fire-max			5	5	levelreq			5	5																																																																										0
ColdResistance	1				100					2	any,mag	s92						useitem				res-cold			10	10	levelreq			5	5																																																																										0
ColdResistanceMax	1				100					2	any,mag	s34						useitem				res-cold-max			5	5	levelreq			5	5																																																																										0
LightningResistance	1				100					2	any,mag	s35						useitem				res-ltng			10	10	levelreq			5	5																																																																										0
LightningResistanceMax	1				100					2	any,mag	s36						useitem				res-ltng-max			5	5	levelreq			5	5																																																																										0
MagicResistance	1				100					2	any,mag	s37						useitem				res-mag			10	10	levelreq			5	5																																																																										0
MagicResistanceMax	1				100					2	any,mag	s38						useitem				res-mag-max			5	5	levelreq			5	5																																																																										0
PoisonResistance	1				100					2	any,mag	s39						useitem				res-pois			10	10	levelreq			5	5																																																																										0
PoisonResistanceMax	1				100					2	any,mag	s40						useitem				res-pois-max			5	5	levelreq			5	5																																																																										0
AllResistances	1				100					2	any,mag	s41						useitem				res-all			10	10	levelreq			5	5																																																																										0
AllResistancesMax	1				100					2	any,mag	s42						useitem				res-all-max			5	5	levelreq			5	5																																																																										0
Str	1				100					2	any,mag	s43						useitem				str			10	10	levelreq			5	5																																																																										0
Dex	1				100					2	any,mag	s44						useitem				dex			10	10	levelreq			5	5																																																																										0
Vit	1				100					2	any,mag	s45						useitem				vit			10	10	levelreq			5	5																																																																										0
Energy	1				100					2	any,mag	s46						useitem				enr			10	10	levelreq			5	5																																																																										0
All Attributes	1				100					2	any,mag	s51						useitem				all-stats			5	5	levelreq			5	5																																																																										0
Life	1				100					2	any,mag	s47						useitem				hp			10	10	levelreq			5	5																																																																										0
Life %	1				100					2	any,mag	s48						useitem				hp%			6	6	levelreq			5	5																																																																										0
Mana	1				100					2	any,mag	s49						useitem				mana			10	10	levelreq			5	5																																																																										0
Mana %	1				100					2	any,mag	s50						useitem				mana%			5	5	levelreq			5	5																																																																										0
Faster Run Walk	1				100					2	any,mag	s52						useitem				move1			10	10	levelreq			5	5																																																																										0
Hit Recovery	1				100					2	any,mag	s53						useitem				balance1			10	10	levelreq			5	5																																																																										0
Faster Block Rate	1				100					2	any,mag	s54						useitem				block1			10	10	levelreq			5	5																																																																										0
Cannot be Frozen	1				100					2	any,mag	s56						useitem				nofreeze			1	1	levelreq			5	5																																																																										0
Replenish Life	1				100					2	any,mag	s57						useitem				regen			5	5	levelreq			5	5																																																																										0
Mana Regen	1				100					2	any,mag	s58						useitem				regen-mana			10	10	levelreq			5	5																																																																										0
All Skills	1				100					2	any,mag	s59						useitem				allskills			1	1	levelreq			5	5																																																																										0
LightRadiusInc	1				100					2	any,mag	v50						useitem				light			3	3	levelreq			5	5																																																																										0
ReducePoisonLength	1				100					2	any,mag	v52						useitem				res-pois-len			10	10	levelreq			5	5																																																																										0
ThornDamage	1				100					2	any,mag	v53						useitem				thorns			5	5	levelreq			5	5																																																																										0
FireSkillDam	1				100					2	any,mag	v54						useitem				extra-fire			10	10	levelreq			5	5																																																																										0
LighSkillDam	1				100					2	any,mag	v55						useitem				extra-ltng			10	10	levelreq			5	5																																																																										0
ColdSkillDam	1				100					2	any,mag	v56						useitem				extra-cold			10	10	levelreq			5	5																																																																										0
PoisSkillDam	1				100					2	any,mag	v57						useitem				extra-pois			10	10	levelreq			5	5																																																																										0
ReducePrices	1				100					2	any,mag	zz8						useitem				cheap			5	5	levelreq			5	5																																																																										0
Sore Random	1				100					2	any,mag	zz9						useitem				dmg			99	99	ac			50	50																																																																										0
ExtraGold	1				100					2	any,set	s60						useitem				gold%			10	10	levelreq			5	5																																																																										0
MagicFind	1				100					2	any,set	s71						useitem				mag%			10	10	levelreq			5	5																																																																										0
ReduceRequirments	1				100					2	any,set	s95						useitem				ease			-10	-10	levelreq			5	5																																																																										0
Indestructable	1				100					2	any,set	s97						useitem				indestruct			1	1	levelreq			5	5																																																																										0
MinFireDam	1				100					2	any,set	s61						useitem				fire-min			10	10	levelreq			5	5																																																																										0
MaxFireDam	1				100					2	any,set	s62						useitem				fire-max			10	10	levelreq			5	5																																																																										0
MinColdDam	1				100					2	any,set	s63						useitem				cold-min			10	10	cold-len			1	1																																																																										0
MaxColdDamn	1				100					2	any,set	s64						useitem				cold-max			10	10	levelreq			5	5																																																																										0
MinLightningDam	1				100					2	any,set	s65						useitem				ltng-min			10	10	levelreq			5	5																																																																										0
MaxLightningDam	1				100					2	any,set	s66						useitem				ltng-max			10	10	levelreq			5	5																																																																										0
MinPoisonDam	1				100					2	any,set	s67						useitem				pois-min			10	10	pois-len			25	25																																																																										0
MaxPoisonDam	1				100					2	any,set	s68						useitem				pois-max			10	10	pois-len			25	25																																																																										0
MinDam	1				100					2	any,set	s69						useitem				dmg-min			10	10	levelreq			5	5																																																																										0
MaxDam	1				100					2	any,set	s70						useitem				dmg-max			10	10	levelreq			5	5																																																																										0
Exp%	1				100					2	any,set	s72						useitem				addxp			10	10	levelreq			5	5																																																																										0
AttRating	1				100					2	any,set	s73						useitem				att			20	20	levelreq			5	5																																																																										0
Enhanced Damage	1				100					2	any,set	s74						useitem				dmg%			15	15	levelreq			5	5																																																																										0
AttackSpeed	1				100					2	any,set	s75						useitem				swing1			10	10	levelreq			5	5																																																																										0
Att Rating %	1				100					2	any,set	s76						useitem				att%			10	10	levelreq			5	5																																																																										0
