Name	Source	ChineseName	ChineseEffect	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of Pestilence		疫癘之	毒素伤害50，持续5秒	1	1	1	25		18				3	16	dmg-pois	125	103	103									lred	weap	circ						rod	orb				0	0
of Anthrax		炭疽之	毒素伤害100，持续6秒	100	1	1	33		25				2	16	dmg-pois	150	171	171									lred	weap							rod	orb				0	0
of Blight		荒疫之	毒素伤害7，持续3秒	100	1	1	45		33				2	16	dmg-pois	75	171	171									lred	ring	amul											0	0
of Envy		嫉妒之	毒素伤害20，持续2秒	100	1	1	1		1				2	16	dmg-pois	50	103	103									lred	jewl												0	0
of Dexterity		敏捷之	敏捷1-2	1	1	1	1		1				4	17	dex		1	2									lred	amul	miss	circ										0	0
of Skill		技術之	敏捷3-5	1	1	1	11		8				3	17	dex		3	5									lred	amul	miss	circ										0	0
of Accuracy		準確之	敏捷6-9	1	1	1	27		20				3	17	dex		6	9									lred	amul	miss	circ										0	0
of Precision		精密之	敏捷10-15	1	1	1	43		35				3	17	dex		10	15									lred	amul	miss	circ										0	0
of Perfection		完美之	敏捷16-20	1	1	1	59		51				3	17	dex		16	20									lred	amul	miss	circ										0	0
of Nirvana		涅槃之	敏捷21-30	100	1		72		64				3	17	dex		21	30									lred	amul	miss	circ										0	0
of Dexterity		敏捷之	敏捷1-2	1	1	1	6		4				4	17	dex		1	2									lred	ring	glov											0	0
of Skill		技術之	敏捷3-5	1	1	1	22		16				3	17	dex		3	5									lred	ring	glov											0	0
of Accuracy		準確之	敏捷6-9	1	1	1	39		31				3	17	dex		6	9									lred	ring	glov											0	0
of Precision		精密之	敏捷10-15	1	1	1	56		48				3	17	dex		10	15									lred	ring	glov											0	0
of Perfection		完美之	敏捷16-20	100	1		75		67				3	17	dex		16	20									lred	ring	glov											0	0
of Dexterity		敏捷之	敏捷1-2	1	1	1	13		9				3	17	dex		2	3									lred	tors	boot						glov					0	0
of Skill		技術之	敏捷3-5	1	1	1	34		26				3	17	dex		4	5									lred	tors	boot						glov					0	0
of Accuracy		準確之	敏捷6-9	1	1	1	46		38				3	17	dex		6	9									lred	tors	boot						glov					0	0
of Precision		精密之	敏捷10-15	100	1		60		52				3	17	dex		10	15									lred	tors	boot						glov					0	0
of Dexterity		敏捷之	敏捷1-2	100	1	1	1		1				4	31	dex		3	4									lred	lcha												0	0
of Dexterity		敏捷之	敏捷1-2	100	1	1	3		2				4	31	dex		2	3									lred	mcha												0	0
of Dexterity		敏捷之	敏捷1-2	100	1	1	7		5				4	31	dex		1	1									lred	scha												0	0
of Dexterity		敏捷之	敏捷1-2	100	1	1	14		10				4	31	dex		5	6									lred	lcha												0	0
of Dexterity		敏捷之	敏捷1-2	100	1	1	18		13				4	31	dex		4	5									lred	mcha												0	0
of Dexterity		敏捷之	敏捷1-2	100	1	1	22		16				4	31	dex		2	2									lred	scha												0	0
of Daring		膽識之	敏捷1-3	100	1	1	7		5				3	17	dex		1	3									lred	jewl												0	0
of Balance		平衡之	快速打击恢复10%	1	1	1	5		3				4	18	balance1		10	10									lred	armo							glov					0	0
of Equilibrium		均衡之	快速打击恢复17%	1	1	1	9		6				4	18	balance2		17	17									lred	tors	belt	shld										0	0
of Stability		穩定之	快速打击恢复24%	1	1	1	18		13				4	18	balance3		24	24									lred	tors	belt											0	0
of Balance		平衡之	快速打击恢复10%	100	1	1	1		1				4	18	balance3		12	12									lred	lcha												0	0
of Balance		平衡之	快速打击恢复10%	100	1	1	19		14				4	18	balance2		8	8									lred	mcha												0	0
of Balance		平衡之	快速打击恢复10%	100	1	1	37		29				4	18	balance1		5	5									lred	scha												0	0
of Truth		真理之	快速打击恢复7%	100	1	1	44		36				4	18	balance1		7	7									lred	jewl												0	0
of Regeneration		恢復之	生命恢复3-5	1	1	1	10		7				4	19	regen		3	5									lred	scep	belt	ring	amul	circ								0	0
of Regeneration		恢復之	生命恢复3-5	1	1	1	40		30				4	19	regen		3	5									lred	shld	glov											0	0
of Regeneration		恢復之	生命恢复3-5	1	1	1	70		52				4	19	regen		3	5									lred	tors	weap	boot					scep					0	0
of Regrowth		癒合之	生命恢复6-10	1	1	1	17		12				4	19	regen		6	10									lred	scep	amul	circ										0	0
of Regrowth		癒合之	生命恢复6-10	1	1	1	55		41				4	19	regen		6	9									lred	belt	ring											0	0
of Revivification		復元之	生命恢复11-15	100	1		38		30				4	19	regen		11	15									lred	scep	amul	circ										0	0
of Honor		榮耀之	生命恢复1-4	100	1	1	47		35				4	19	regen		1	4									lred	jewl												0	0
of Vileness		穢毒之	防止怪物自疗	1	1	1	9		6				3	20	noheal		1	1									lred	mele							rod	orb				0	0
of Greed		貪婪之	额外金币25%-40%	1	1	1	1		1				4	21	gold%		25	40									lred	ring	amul	circ										0	0
of Wealth		財富之	额外金币41%-80%	1	1	1	17		12				4	21	gold%		41	80									lred	boot	glov	belt	amul	circ								0	0
of Greed		貪婪之	额外金币25%-40%	100	1	1	1		1				4	21	gold%		10	20									lred	lcha												0	0
of Greed		貪婪之	额外金币25%-40%	100	1	1	7		5				4	21	gold%		21	30									lred	lcha												0	0
of Greed		貪婪之	额外金币25%-40%	100	1	1	19		14				4	21	gold%		31	40									lred	lcha												0	0
of Greed		貪婪之	额外金币25%-40%	100	1	1	1		5				4	21	gold%		5	10									lred	mcha												0	0
of Greed		貪婪之	额外金币25%-40%	100	1	1	20		15				4	21	gold%		11	22									lred	mcha												0	0
of Greed		貪婪之	额外金币25%-40%	100	1	1	1		15				4	21	gold%		5	10									lred	scha												0	0
of Avarice		貪慾之	额外金币10%-30%	100	1	1	1		1				4	21	gold%		10	30									lred	jewl												0	0
of Chance		機會之	寻宝5%-15%	1	1	1	12		9				4	22	mag%		5	15									lred	boot	glov	ring	amul	circ								0	0
of Fortune		機運之	寻宝16%-25%	1	1	1	16		12				4	22	mag%		16	25									lred	boot	glov	amul	circ									0	0
of Fortune		機運之	寻宝16%-25%	1	1		42		31				4	22	mag%		16	25									lred	ring												0	0
of Luck		運氣之	寻宝26%-35%	100	1		26		19				4	22	mag%		26	35									lred	boot	amul	circ										0	0
of Fortune		機運之	寻宝16%-25%	100	1	1	31		18				3	22	mag%		3	5									lred	scha												0	0
of Good Luck		幸運之	寻宝6%-7%	100	1		47		33				2	22	mag%		6	7									lred	scha												0	0
of Prosperity		富饒之	寻宝5%-10%	100	1	1	26		19				2	22	mag%		5	10									lred	jewl												0	0
of Energy		能量之	精力1-3	1	1	1	1		1				4	23	enr		1	3									lred	amul	orb	circ	wand	staf								0	0
of the Mind		心神之	精力4-6	1	1	1	7		3				4	23	enr		4	6									lred	amul	orb	circ	wand	staf								0	0
of Brilliance		才華之	精力7-10	1	1	1	13		9				3	23	enr		7	10									lred	amul	orb	circ	wand	staf								0	0
of Sorcery		幻法之	精力11-15	1	1	1	21		16				3	23	enr		11	15									lred	amul	orb	circ	wand	staf								0	0
of Wizardry		巫術之	精力16-20	1	1	1	31		23				3	23	enr		16	20									lred	amul	orb	circ	wand	staf								0	0
of Enlightenment		啟發之	精力21-30	100	1		41		33				3	23	enr		21	30									lred	amul	orb	circ	wand	staf								0	0
of Energy		能量之	精力1-3	1	1	1	7		5				4	23	enr		1	3									lred	ring												0	0
of the Mind		心神之	精力4-6	1	1	1	13		9				3	23	enr		4	6									lred	ring												0	0
of Brilliance		才華之	精力7-10	1	1	1	21		16				3	23	enr		7	10									lred	ring												0	0
of Sorcery		幻法之	精力11-15	1	1	1	31		23				3	23	enr		11	15									lred	ring												0	0
of Wizardry		巫術之	精力16-20	100	1		41		33				3	23	enr		16	20									lred	ring												0	0
of Energy		能量之	精力1-3	1	1	1	4		3				3	23	enr		1	3									lred	helm	scep											0	0
of the Mind		心神之	精力4-6	1	1	1	10		7				3	23	enr		4	6									lred	helm	scep											0	0
of Brilliance		才華之	精力7-10	1	1	1	16		12				3	23	enr		7	10									lred	helm	scep											0	0
of Sorcery		幻法之	精力11-15	100	1		26		21				3	23	enr		11	15									lred	helm	scep											0	0
of Knowledge		知識之	精力1-5	100	1	1	9		6				3	23	enr		1	5									lred	jewl												0	0
of the Bear		巨熊之	击退	1	1	1	8		6				0	24	knock		1	1									lred	mele												0	0
of Light		光明之	照明1、命中15	1	1	1	6		4				1	25	light		1	1	att		15	15					lred	rod	ring	amul										0	0
of Radiance		光輝之	照明3、命中30	1	1	1	15		11				1	25	light		3	3	att		30	30					lred	rod	ring	amul										0	0
of the Sun		日光之	照明5、命中5%	1	1	1	17		12				1	25	light		5	5	att%		5	5					lred	rod	ring	amul										0	0
of the Jackal		豺狼之	生命1-5	1	1	1	1		1				3	26	hp		1	5									lred	tors	belt	amul	phlm	circ								0	0
of the Fox		狐狸之	生命6-10	1	1	1	7		5				3	26	hp		6	10									lred	tors	belt	amul	phlm	circ								0	0
of the Wolf		野狼之	生命11-20	1	1	1	15		11				3	26	hp		11	20									lred	tors	belt	amul	phlm	circ								0	0
of the Tiger		老虎之	生命21-30	1	1	1	20		15				3	26	hp		21	30									lred	tors	belt	amul	phlm	circ								0	0
of the Mammoth		猛瑪之	生命31-40	1	1	1	25		18				3	26	hp		31	40									lred	tors	belt	amul	phlm	circ								0	0
of the Colosuss		巨像之	生命41-60	1	1	1	30		22				3	26	hp		41	60									lred	tors	belt	amul	phlm	circ								0	0
of the Squid		烏賊之	生命61-80	100	1		40		30				3	26	hp		61	80									lred	tors	belt	amul	phlm	circ								0	0
of the Whale		巨鯨之	生命81-100	100	1		50		37				3	26	hp		81	100									lred	tors	belt	amul	phlm	circ								0	0
of the Jackal		豺狼之	生命1-5	100	1	1	4		3				3	26	hp		1	5									lred	shld	pelt											0	0
of the Fox		狐狸之	生命6-10	100	1	1	11		8				3	26	hp		6	10									lred	shld	pelt											0	0
of the Wolf		野狼之	生命11-20	100	1	1	27		20				3	26	hp		11	20									lred	shld	pelt											0	0
of the Tiger		老虎之	生命21-30	100	1	1	43		35				3	26	hp		21	30									lred	shld	pelt											0	0
of the Mammoth		猛瑪之	生命31-40	100	1	1	59		51				3	26	hp		31	40									lred	shld	pelt											0	0
of the Colosuss		巨像之	生命41-60	100	1		75		67				3	26	hp		41	60									lred	shld	pelt											0	0
of the Jackal		豺狼之	生命1-5	1	1	1	8		6				3	26	hp		1	5									lred	club	hamm	mace	ring	helm								0	0
of the Fox		狐狸之	生命6-10	1	1	1	17		13				3	26	hp		6	10									lred	club	hamm	mace	ring	helm								0	0
of the Wolf		野狼之	生命11-20	1	1	1	34		26				3	26	hp		11	20									lred	club	hamm	mace	ring	helm								0	0
of the Tiger		老虎之	生命21-30	1	1	1	51		43				3	26	hp		21	30									lred	club	hamm	mace	ring	helm								0	0
of the Mammoth		猛瑪之	生命31-40	1	1	1	68		60				3	26	hp		31	40									lred	club	hamm	mace	ring	helm								0	0
of Life		生命之	物理伤害减少4	100	1	1	1		1				4	26	hp		5	10									lred	lcha												0	0
of Life		生命之	物理伤害减少4	100	1	1	9		6				4	26	hp		11	15									lred	lcha												0	0
of Life		生命之	物理伤害减少4	100	1	1	19		14				4	26	hp		16	20									lred	lcha												0	0
of Substinence		維續之	生命21-25	100	1	1	31		23				4	26	hp		21	25									lred	lcha												0	0
of Substinence		維續之	生命21-25	100	1	1	45		37				4	26	hp		26	30									lred	lcha												0	0
of Substinence		維續之	生命21-25	100	1	1	61		53				4	26	hp		31	35									lred	lcha												0	0
of Vita		活力之	生命36-40	100	1		77		69				4	26	hp		36	40									lred	lcha												0	0
of Vita		活力之	生命36-40	100	1		91		83				4	26	hp		41	45									lred	lcha												0	0
of Vita		活力之	生命36-40	100	1		110		97				4	26	hp		46	50									lred	lcha												0	0
of Life		生命之	物理伤害减少4	100	1	1	1		9				4	26	hp		6	10									lred	mcha												0	0
of Life		生命之	物理伤害减少4	100	1	1	12		9				4	26	hp		11	15									lred	mcha												0	0
of Substinence		維續之	生命21-25	100	1	1	26		19				4	26	hp		16	20									lred	mcha												0	0
of Substinence		維續之	生命21-25	100	1	1	42		34				4	26	hp		21	25									lred	mcha												0	0
of Vita		活力之	生命36-40	100	1		58		50				4	26	hp		26	30									lred	mcha												0	0
of Vita		活力之	生命36-40	100	1		74		66				4	26	hp		31	35									lred	mcha												0	0
of Life		生命之	物理伤害减少4	100	1	1	1		14				4	26	hp		5	10									lred	scha												0	0
of Substinence		維續之	生命21-25	100	1	1	23		17				4	26	hp		11	15									lred	scha												0	0
of Vita		活力之	生命36-40	100	1		47		39				4	26	hp		16	20									lred	scha												0	0
of Spirit		魂靈之	生命3-8	100	1	1	1		1				4	26	hp		3	8									lred	jewl												0	0
of Hope		希望之	生命9-20	100	1		45		37				4	26	hp		9	20									lred	jewl												0	0
of the Leech		血蛭之	吸取生命4%-5%	1	1	1	6		4				7	27	lifesteal		4	5									lred	weap							orb					0	0
of the Locust		蝗蟲之	吸取生命6%-7%	1	1	1	20		15				7	27	lifesteal		6	7									lred	mele							orb					0	0
of the Lamprey		八目鰻之	吸取生命8%-9%	100	1	1	55		43				7	27	lifesteal		8	9									lred	mele							orb					0	0
of the Leech		血蛭之	吸取生命4%-5%	1	1	1	14		10				4	27	lifesteal		3	4									lred	ring	circ											0	0
of the Locust		蝗蟲之	吸取生命6%-7%	1	1	1	47		35				4	27	lifesteal		5	6									lred	ring	circ											0	0
of the Lamprey		八目鰻之	吸取生命8%-9%	100	1	1	77		65				4	27	lifesteal		7	8									lred	ring	circ											0	0
of the Leech		血蛭之	吸取生命4%-5%	1	1	1	34		26				4	27	lifesteal		3	3									lred	glov												0	0
of the Bat		蝙蝠之	吸取法力4%-5%	1	1	1	7		4				7	28	manasteal		4	5									lred	weap							orb					0	0
of the Wraith		怨靈之	吸取法力6%-7%	1	1	1	21		16				7	28	manasteal		6	7									lred	mele												0	0
of the Vampire		吸血鬼之	吸取法力8%-9%	100	1	1	56		48				7	28	manasteal		8	9									lred	mele												0	0
of the Bat		蝙蝠之	吸取法力4%-5%	1	1	1	15		11				4	28	manasteal		3	4									lred	amul	circ											0	0
of the Wraith		怨靈之	吸取法力6%-7%	1	1	1	58		40				4	28	manasteal		5	6									lred	amul	circ											0	0
of the Vampire		吸血鬼之	吸取法力8%-9%	100	1	1	78		66				4	28	manasteal		7	8									lred	amul	circ											0	0
of the Bat		蝙蝠之	吸取法力4%-5%	1	1	1	35		27				4	28	manasteal		3	3									lred	glov												0	0
of Defiance		抗毒之	中毒时间减少75%	1	1	1	25		18				2	29	res-pois-len		75	75									lred	tors	shld	amul	circ									0	0
of Amelioration		緩解之	中毒时间减少50%	1	1	1	18		13				3	29	res-pois-len		50	50									lred	tors	shld	amul	circ									0	0
of Remedy		醫治之	中毒时间减少25%	100	1	1	7		5				3	29	res-pois-len		25	25									lred	armo	ring	amul	circ									0	0
of Simplicity		簡易之	需求降低30%	1	1	1	25		18				2	30	ease		-30	-30									lred	tors	weap	shld					rod	orb				0	0
of Ease		舒適之	需求降低20%	1	1	1	15		11				3	30	ease		-20	-20									lred	tors	weap	shld					rod	orb				0	0
of Freedom		自由之	需求降低15%	100	1	1	1		1				3	30	ease		-15	-15									lred	jewl												0	0
of Strength		力量之	力量1-2	1	1	1	1		1				4	31	str		1	2									lred	amul	belt	club	hamm	circ								0	0
of Might		武力之	力量3-5	1	1	1	10		8				3	31	str		3	5									lred	amul	belt	club	hamm	circ								0	0
of the Ox		公牛之	力量6-9	1	1	1	26		19				3	31	str		6	9									lred	amul	belt	club	hamm	circ								0	0
of the Giant		巨人之	力量10-15	1	1	1	42		34				3	31	str		10	15									lred	amul	belt	club	hamm	circ								0	0
of the Titan		泰坦之	力量16-20	1	1	1	58		50				3	31	str		16	20									lred	amul	belt	club	hamm	circ								0	0
of Atlus		擎天神之	力量21-30	100	1	1	71		63				3	31	str		21	30									lred	amul	belt	club	hamm	circ								0	0
of Strength		力量之	力量1-2	1	1	1	5		3				4	31	str		1	2									lred	ring	scep	mace	tors									0	0
of Might		武力之	力量3-5	1	1	1	21		15				3	31	str		3	5									lred	ring	scep	mace	tors									0	0
of the Ox		公牛之	力量6-9	1	1	1	38		30				3	31	str		6	9									lred	ring	scep	mace	tors									0	0
of the Giant		巨人之	力量10-15	1	1	1	55		47				3	31	str		10	15									lred	ring	scep	mace	tors									0	0
of the Titan		泰坦之	力量16-20	100	1	1	74		66				3	31	str		16	20									lred	ring	scep	mace	tors									0	0
of Strength		力量之	力量1-2	1	1	1	12		8				3	31	str		1	2									lred	mele	glov	shld					blun					0	0
of Might		武力之	力量3-5	1	1	1	33		25				3	31	str		3	5									lred	mele	glov	shld					blun					0	0
of the Ox		公牛之	力量6-9	1	1	1	45		37				3	31	str		6	9									lred	mele	glov	shld					blun					0	0
of the Giant		巨人之	力量10-15	100	1	1	59		51				3	31	str		10	15									lred	mele	glov						blun					0	0
of Strength		力量之	力量1-2	100	1	1	1		1				4	31	str		3	4									lred	lcha												0	0
of Strength		力量之	力量1-2	100	1	1	3		2				4	31	str		2	3									lred	mcha												0	0
of Strength		力量之	力量1-2	100	1	1	7		5				4	31	str		1	1									lred	scha												0	0
of Strength		力量之	力量1-2	100	1	1	14		10				4	31	str		5	6									lred	lcha												0	0
of Strength		力量之	力量1-2	100	1	1	18		13				4	31	str		4	5									lred	mcha												0	0
of Strength		力量之	力量1-2	100	1	1	22		16				4	31	str		2	2									lred	scha												0	0
of Virility		氣力之	力量1-4	100	1	1	18		13				4	31	str		1	4									lred	jewl												0	0
of Pacing		步伐之	移动速度10%	1	1	1	12		8				3	35	move1		10	10									lred	boot	circ											0	0
of Haste		疾行之	移动速度20%	1	1	1	22		16				4	35	move2		20	20									lred	boot	circ											0	0
of Speed		速度之	移动速度30%	1	1	1	37		29				4	35	move3		30	30									lred	boot	circ											0	0
of Traveling		運輸之	移动速度30%，减缓耐力消耗80-90%	100	1		65		57				4	35	move3		30	30	stamdrain		80	90					lred	boot												0	0
of Acceleration		加速之	移动速度40%	100	1		51		43				4	35	move3		40	40									lred	boot												0	0
of Inertia		慣性之	移动速度7%	100	1	1	19		14				4	35	move3		7	7									lred	lcha												0	0
of Inertia		慣性之	移动速度7%	100	1	1	24		18				4	35	move2		5	5									lred	mcha												0	0
of Inertia		慣性之	移动速度7%	100	1		35		27				4	35	move1		3	3									lred	scha												0	0
of Self-Repair		自我修復	自动恢复耐久度1/33秒	100	1	1	3		1				3	37	rep-dur	3											lred	weap	armo						thro	miss				0	0
of Fast Repair		修復之	自动恢复耐久度1/20秒	100	1	1	20		12				2	37	rep-dur	5											lred	weap	armo						thro	miss				0	0
of Ages		歲月之	无法破坏	100	1		50		42				1	39	indestruct												lred	weap	armo						thro	miss				0	0
of Replenishing		補充之	恢复数量1/20秒	100	1	1	5		3				6	39	rep-quant	5											lred	thro												0	0
of Propogation		增殖之	恢复数量1/10秒	100	1	1	24		18				5	39	rep-quant	10											lred	thro												0	0
of the Kraken		半人馬之	生命0.75/级	100	1		20		1				1	41	hp/lvl	6											lred	tors	amul	pelt	phlm									0	0
of Memory		記憶之	法力0.75/级	100	1		20		1				1	41	mana/lvl	6											lred	circ	amul	pelt										0	0
of the Elephant		巨象之	生命0.5/级、法力0.25/级	100	1		37		7				2	41	hp/lvl	4			mana/lvl	2							lred	circ	pelt											0	0
of Power		力量之	0	100			1		1				1	42	str/lvl	3											lred	belt	amul											0	0
of Grace		優雅之	0	100			1		1				1	42	dex/lvl	3											lred	helm	amul											0	0
of Grace and Power		優雅與力量之	0	100			1		1				1	42	str/lvl	1			dex/lvl	1							lred	amul												0	0
of the Yeti		雪怪之	0	100			1		1				1	43	res-cold/lvl	3											lred	tors	glov	amul										0	0
of the Phoenix		鳳凰之	0	100			1		1				1	43	res-fire/lvl	3											lred	shld	helm	amul										0	0
of the Efreeti		火靈之	0	100			1		1				1	43	res-ltng/lvl	3											lred	glov	boot	ring										0	0
of the Cobra		眼鏡蛇之	0	100			1		1				1	43	res-pois/lvl	3											lred	belt	ring	amul										0	0
of the Elements		元素之	0	100			1		1				10	43	res-cold/lvl	1			res-fire/lvl	1			res-ltng/lvl	1			lred	circ												0	0
of Firebolts		火焰彈之	击中时10%施展8级火弹	100	1	1	16		12				1	44	hit-skill	36	10	16									lred	weap							miss					0	0
of Firebolts		火焰彈之	击中时10%施展8级火弹	100	1	1	6		4				1	44	att-skill	36	5	6									lred	weap							miss					0	0
of Firebolts		火焰彈之	击中时10%施展8级火弹	100	1	1	20		15				1	44	att-skill	36	10	8									lred	weap							miss					0	0
of Charged Shield		電能彈之	被击中时10%施展3级充能弹	100	1	1	6		4				1	44	gethit-skill	38	10	6									lred	armo	ring	amul										0	0
of Charged Shield		電能彈之	被击中时10%施展3级充能弹	100	1	1	16		12				1	44	gethit-skill	38	12	8									lred	armo	ring	amul										0	0
of Charged Shield		電能彈之	被击中时10%施展3级充能弹	100	1	1	26		19				1	44	gethit-skill	38	14	10									lred	armo	ring	amul										0	0
of Icebolt		寒冰彈之	攻击时5%施展3级冰弹	100	1	1	6		4				1	44	att-skill	39	5	6									lred	weap							miss					0	0
of Frost Shield		冰霜護盾之	被击中时5%施展3级霜之新星	100	1	1	12		9				1	44	gethit-skill	44	5	6									lred	armo	amul											0	0
of Nova		閃電新星之	击中时10%施展3级新星	100	1	1	18		13				1	44	hit-skill	48	10	6									lred	weap							miss					0	0
of Nova		閃電新星之	击中时10%施展3级新星	100	1	1	28		21				1	44	hit-skill	48	12	8									lred	weap							miss					0	0
of Nova Shield		新星之盾	被击中时10%施展3级新星	100	1	1	18		13				1	44	gethit-skill	48	10	6									lred	armo	ring 											0	0
of Nova Shield		新星之盾	被击中时10%施展3级新星	100	1	1	28		21				1	44	gethit-skill	48	12	8									lred	armo	ring 											0	0
of Nova Shield		新星之盾	被击中时10%施展3级新星	100	1	1	38		28				1	44	gethit-skill	48	14	10									lred	armo	ring 											0	0
of Lightning		閃電之	闪电伤害1到9-16	100	1	1	18		13				1	44	att-skill	49	5	6									lred	weap							miss					0	0
of Lightning		閃電之	闪电伤害1到9-16	100			12		18		sor	9	1	44	charged	49	50	2									lred	weap												0	0
of Chain Lightning		連鎖閃電之	攻击时5%施展3级连锁闪电	100	1	1	25		18				1	44	att-skill	53	5	6									lred	weap	ring	amul					miss					0	0
of Chain Lightning		連鎖閃電之	攻击时5%施展3级连锁闪电	100	1	1	35		26				1	44	att-skill	53	8	6									lred	weap	ring	amul					miss					0	0
of Chain Lightning		連鎖閃電之	攻击时5%施展3级连锁闪电	100	1	1	45		33				1	44	att-skill	53	8	10									lred	weap	ring	amul					miss					0	0
of Teleport Shield		傳送盾之	0	100			25		18				1	44	gethit-skill	54	10	6									lred	armo	ring	amul										0	0
of Teleport Shield		傳送盾之	0	100			35		26				1	44	gethit-skill	54	14	6									lred	armo	ring	amul										0	0
of Teleport Shield		傳送盾之	0	100			45		33				1	44	gethit-skill	54	18	6									lred	armo	ring	amul										0	0
of Hydra Shield		多頭蛇盾之	被击中时10%施展3级九头蛇	100	1	1	40		30				1	44	gethit-skill	62	10	6									lred	amul												0	0
of Magic Arrows		魔法箭之	等级10 魔法箭（聚气）	100	1	1	12		11		ama	1	0	44	charged	6	-30	-10									lred	miss	abow											0	0
of Magic Arrows		魔法箭之	等级10 魔法箭（聚气）	100			35		28		ama	3	1	44	charged	6	-20	-6									lred	glov												0	0
of Fire Arrows		火焰箭之	等级10 火焰箭（聚气）	100			13		12		ama	1	0	44	charged	7	-30	-10									lred	miss	abow											0	0
of Fire Arrows		火焰箭之	等级10 火焰箭（聚气）	100	1	1	40		32		ama	3	1	44	charged	7	-20	-6									lred	glov												0	0
of Inner Sight		心靈視野之	等级6 内视（聚气）	100	1	1	18		14		ama	2	1	44	charged	8	-30	-6									lred	amul	circ											0	0
of Inner Sight		心靈視野之	等级6 内视（聚气）	100	1	1	50		42		ama	5	1	44	charged	8	-20	-4									lred	glov												0	0
of Jabbing		戳刺之	0	100			24		18		ama	3	0	44	charged	10	-60	-7									lred	spea	aspe											0	0
of Jabbing		戳刺之	0	100			50		42		ama	5	1	44	charged	10	-20	-4									lred	glov												0	0
of Cold Arrows		冷霜箭之	等级8 冰箭（聚气）	100	1	1	15		16		ama	6	0	44	charged	11	-30	-8									lred	miss	abow											0	0
of Cold Arrows		冷霜箭之	等级8 冰箭（聚气）	100	1	1	47		39		ama	9	1	44	charged	11	-20	-5									lred	glov												0	0
of Multiple Shot		多重箭之	等级8 多重箭（聚气）	100	1	1	18		19		ama	6	0	44	charged	12	-30	-8									lred	miss	abow											0	0
of Multiple Shot		多重箭之	等级8 多重箭（聚气）	100	1	1	63		55		ama	12	1	44	charged	12	-20	-4									lred	glov												0	0
of Power Strike		充能強擊之	等级6 威力一击（聚气）	100	1	1	12		13		ama	6	0	44	charged	14	-60	-6									lred	spea	aspe											0	0
of Power Strike		充能強擊之	等级6 威力一击（聚气）	100	1	1	55		47		ama	9	1	44	charged	14	-20	-4									lred	glov												0	0
of Poison Jab		劇毒戳刺之	0	100			17		18		ama	6	1	44	charged	15	-60	-6									lred	amul	circ											0	0
of Poison Jab		劇毒戳刺之	0	100			67		59		ama	13	1	44	charged	15	-20	-3									lred	glov												0	0
of Exploding Arrows		爆裂箭之	等级6 爆裂箭（聚气）	100	1	1	30		26		ama	12	0	44	charged	16	-30	-6									lred	miss	abow											0	0
of Exploding Arrows		爆裂箭之	等级6 爆裂箭（聚气）	100	1	1	69		61		ama	17	1	44	charged	16	-20	-4									lred	glov												0	0
of Slow Missiles		緩箭術之	0	100			33		27		ama	12	0	44	charged	17	-30	-5									lred	amaz												0	0
of Slow Missiles		緩箭術之	0	100			68		60		ama	15	1	44	charged	17	-20	-3									lred	glov	amul											0	0
of Impaling Strike		穿刺之	0	100			24		18		ama	12	0	44	charged	19	-60	-6									lred	spea	aspe											0	0
of Impaling Strike		穿刺之	0	100			59		51		ama	15	1	44	charged	19	-20	-4									lred	glov												0	0
of Lightning Javelin		閃電標槍之	0	100			25		18		ama	12	1	44	charged	20	-60	-6									lred	amul	circ											0	0
of Lightning Javelin		閃電標槍之	0	100			70		62		ama	17	1	44	charged	20	-20	-3									lred	glov												0	0
of Ice Arrows		寒冰箭之	等级5 急冻箭（聚气）	100	1	1	36		28		ama	18	0	44	charged	21	-30	-5									lred	miss	abow											0	0
of Ice Arrows		寒冰箭之	等级5 急冻箭（聚气）	100	1	1	72		64		ama	22	1	44	charged	21	-20	-3									lred	glov												0	0
of Guided Arrows		導引箭	0	100			34		26		ama	18	0	44	charged	22	-30	-5									lred	miss	abow											0	0
of Guided Arrows		導引箭	0	100			69		61		ama	21	1	44	charged	22	-20	-3									lred	glov												0	0
of Charged Strike		聚能強擊之	等级5 充能一击（聚气）	100	1	1	33		25		ama	18	0	44	charged	24	-60	-5									lred	spea	aspe											0	0
of Charged Strike		聚能強擊之	等级5 充能一击（聚气）	100	1	1	68		60		ama	21	1	44	charged	24	-20	-3									lred	glov												0	0
of Plague Jab		瘟疫戳刺之	0	100			35		27		ama	18	1	44	charged	25	-60	-5									lred	amul	circ											0	0
of Plague Jab		瘟疫戳刺之	0	100			71		63		ama	22	1	44	charged	25	-20	-3									lred	glov												0	0
of Immolating Arrows		熾炎箭	0	100			42		36		ama	24	0	44	charged	27	-30	-4									lred	miss	abow											0	0
of Immolating Arrows		熾炎箭	0	100			85		77		ama	27	1	44	charged	27	-20	-2									lred	glov												0	0
of Fending		疾刺之	0	100			41		35		ama	24	0	44	charged	30	-60	-5									lred	spea	aspe											0	0
of Fending		疾刺之	0	100			83		75		ama	26	1	44	charged	30	-20	-3									lred	glov												0	0
